"Hours since thread went live","One Room, Hiatari Futsuu, Tenshi-tsuki. • Studio Apartment, Good Lighting, Angel Included - Episode 10 discussion"
0,1
0,0
0.08333333333333333,1
0.16666666666666666,3
0.25,5
0.3333333333333333,5
0.4166666666666667,8
0.5,10
0.5833333333333334,11
0.6666666666666666,13
0.75,18
0.8333333333333334,18
0.9166666666666666,19
1,19
1.0833333333333333,23
1.1666666666666667,23
1.25,22
1.3333333333333333,24
1.4166666666666667,25
1.5,28
1.5833333333333333,30
1.6666666666666667,33
1.75,35
1.8333333333333333,37
1.9166666666666667,37
2,37
2.0833333333333335,38
2.1666666666666665,42
2.25,43
2.3333333333333335,46
2.4166666666666665,45
2.5,48
2.5833333333333335,46
2.6666666666666665,48
2.75,50
2.8333333333333335,51
2.9166666666666665,51
3,53
3.0833333333333335,56
3.1666666666666665,57
3.25,59
3.3333333333333335,55
3.4166666666666665,59
3.5,56
3.5833333333333335,58
3.6666666666666665,57
3.75,59
3.8333333333333335,61
3.9166666666666665,62
4,62
4.083333333333333,67
4.166666666666667,67
4.25,71
4.333333333333333,74
4.416666666666667,79
4.5,84
4.583333333333333,82
4.666666666666667,85
4.75,86
4.833333333333333,83
4.916666666666667,85
5,85
5.083333333333333,88
5.166666666666667,89
5.25,89
5.333333333333333,91
5.416666666666667,94
5.5,93
5.583333333333333,93
5.666666666666667,95
5.75,96
5.833333333333333,94
5.916666666666667,96
6,96
6.083333333333333,92
6.166666666666667,96
6.25,94
6.333333333333333,100
6.416666666666667,99
6.5,102
6.583333333333333,100
6.666666666666667,100
6.75,100
6.833333333333333,103
6.916666666666667,102
7,105
7.083333333333333,108
7.166666666666667,108
7.25,109
7.333333333333333,111
7.416666666666667,110
7.5,107
7.583333333333333,107
7.666666666666667,108
7.75,107
7.833333333333333,106
7.916666666666667,110
8,109
8.083333333333334,110
8.166666666666666,112
8.25,110
8.333333333333334,116
8.416666666666666,116
8.5,117
8.583333333333334,114
8.666666666666666,115
8.75,115
8.833333333333334,117
8.916666666666666,117
9,115
9.083333333333334,112
9.166666666666666,111
9.25,116
9.333333333333334,120
9.416666666666666,114
9.5,121
9.583333333333334,119
9.666666666666666,123
9.75,122
9.833333333333334,120
9.916666666666666,122
10,123
10.083333333333334,117
10.166666666666666,119
10.25,121
10.333333333333334,123
10.416666666666666,125
10.5,124
10.583333333333334,123
10.666666666666666,124
10.75,127
10.833333333333334,126
10.916666666666666,124
11,131
11.083333333333334,131
11.166666666666666,131
11.25,131
11.333333333333334,129
11.416666666666666,128
11.5,129
11.583333333333334,134
11.666666666666666,131
11.75,132
11.833333333333334,134
11.916666666666666,133
12,137
12.083333333333334,136
12.166666666666666,139
12.25,134
12.333333333333334,136
12.416666666666666,136
12.5,140
12.583333333333334,142
12.666666666666666,139
12.75,139
12.833333333333334,138
12.916666666666666,136
13,143
13.083333333333334,143
13.166666666666666,140
13.25,142
13.333333333333334,143
13.416666666666666,140
13.5,143
13.583333333333334,143
13.666666666666666,142
13.75,141
13.833333333333334,142
13.916666666666666,142
14,140
14.083333333333334,143
14.166666666666666,143
14.25,145
14.333333333333334,149
14.416666666666666,144
14.5,146
14.583333333333334,149
14.666666666666666,146
14.75,147
14.833333333333334,146
14.916666666666666,150
15,146
15.083333333333334,150
15.166666666666666,144
15.25,148
15.333333333333334,150
15.416666666666666,149
15.5,149
15.583333333333334,151
15.666666666666666,150
15.75,149
15.833333333333334,147
15.916666666666666,149
16,151
16.083333333333332,152
16.166666666666668,149
16.25,151
16.333333333333332,153
16.416666666666668,151
16.5,151
16.583333333333332,155
16.666666666666668,154
16.75,153
16.833333333333332,155
16.916666666666668,150
17,152
17.083333333333332,155
17.166666666666668,151
17.25,155
17.333333333333332,152
17.416666666666668,152
17.5,153
17.583333333333332,152
17.666666666666668,158
17.75,154
17.833333333333332,155
17.916666666666668,152
18,155
18.083333333333332,156
18.166666666666668,154
18.25,157
18.333333333333332,156
18.416666666666668,156
18.5,161
18.583333333333332,159
18.666666666666668,159
18.75,160
18.833333333333332,160
18.916666666666668,159
19,161
19.083333333333332,161
19.166666666666668,163
19.25,159
19.333333333333332,160
19.416666666666668,162
19.5,161
19.583333333333332,160
19.666666666666668,159
19.75,161
19.833333333333332,162
19.916666666666668,159
20,163
20.083333333333332,159
20.166666666666668,161
20.25,161
20.333333333333332,159
20.416666666666668,162
20.5,163
20.583333333333332,158
20.666666666666668,166
20.75,159
20.833333333333332,161
20.916666666666668,164
21,160
21.083333333333332,166
21.166666666666668,164
21.25,163
21.333333333333332,163
21.416666666666668,165
21.5,163
21.583333333333332,162
21.666666666666668,165
21.75,162
21.833333333333332,161
21.916666666666668,159
22,168
22.083333333333332,166
22.166666666666668,166
22.25,167
22.333333333333332,164
22.416666666666668,163
22.5,165
22.583333333333332,167
22.666666666666668,166
22.75,164
22.833333333333332,169
22.916666666666668,167
23,166
23.083333333333332,165
23.166666666666668,167
23.25,163
23.333333333333332,164
23.416666666666668,165
23.5,163
23.583333333333332,168
23.666666666666668,164
23.75,164
23.833333333333332,169
23.916666666666668,165
24,165
24.083333333333332,169
24.166666666666668,163
24.25,164
24.333333333333332,166
24.416666666666668,165
24.5,165
24.583333333333332,162
24.666666666666668,169
24.75,168
24.833333333333332,165
24.916666666666668,166
25,162
25.083333333333332,166
25.166666666666668,166
25.25,166
25.333333333333332,165
25.416666666666668,163
25.5,167
25.583333333333332,167
25.666666666666668,169
25.75,166
25.833333333333332,169
25.916666666666668,169
26,167
26.083333333333332,168
26.166666666666668,168
26.25,169
26.333333333333332,163
26.416666666666668,163
26.5,163
26.583333333333332,166
26.666666666666668,169
26.75,166
26.833333333333332,168
26.916666666666668,166
27,169
27.083333333333332,168
27.166666666666668,170
27.25,166
27.333333333333332,165
27.416666666666668,168
27.5,166
27.583333333333332,166
27.666666666666668,166
27.75,164
27.833333333333332,169
27.916666666666668,168
28,171
28.083333333333332,169
28.166666666666668,171
28.25,171
28.333333333333332,170
28.416666666666668,168
28.5,168
28.583333333333332,168
28.666666666666668,170
28.75,168
28.833333333333332,170
28.916666666666668,168
29,168
29.083333333333332,168
29.166666666666668,169
29.25,169
29.333333333333332,170
29.416666666666668,171
29.5,171
29.583333333333332,169
29.666666666666668,168
29.75,168
29.833333333333332,165
29.916666666666668,169
30,171
30.083333333333332,169
30.166666666666668,168
30.25,166
30.333333333333332,171
30.416666666666668,169
30.5,170
30.583333333333332,174
30.666666666666668,173
30.75,169
30.833333333333332,169
30.916666666666668,166
31,166
31.083333333333332,169
31.166666666666668,172
31.25,170
31.333333333333332,169
31.416666666666668,169
31.5,167
31.583333333333332,174
31.666666666666668,170
31.75,172
31.833333333333332,173
31.916666666666668,172
32,169
32.083333333333336,173
32.166666666666664,174
32.25,172
32.333333333333336,168
32.416666666666664,175
32.5,174
32.583333333333336,169
32.666666666666664,171
32.75,170
32.833333333333336,174
32.916666666666664,172
33,171
33.083333333333336,168
33.166666666666664,173
33.25,169
33.333333333333336,171
33.416666666666664,171
33.5,172
33.583333333333336,172
33.666666666666664,176
33.75,173
33.833333333333336,168
33.916666666666664,176
34,168
34.083333333333336,171
34.166666666666664,171
34.25,173
34.333333333333336,175
34.416666666666664,170
34.5,168
34.666666666666664,174
34.75,173
34.833333333333336,174
34.916666666666664,174
35,174
