"Hours since thread went live","Yoru no Kurage wa Oyogenai • Jellyfish Can't Swim in the Night - Episode 9 discussion"
0,1
0,3
0.08333333333333333,7
0.16666666666666666,14
0.25,24
0.3333333333333333,41
0.4166666666666667,60
0.5,78
0.5833333333333334,102
0.6666666666666666,111
0.75,121
0.8333333333333334,148
0.9166666666666666,158
1,179
1.0833333333333333,199
1.1666666666666667,210
1.25,236
1.3333333333333333,253
1.4166666666666667,276
1.5,292
1.5833333333333333,312
1.6666666666666667,334
1.75,350
1.8333333333333333,370
1.9166666666666667,383
2,399
2.0833333333333335,414
2.1666666666666665,424
2.25,433
2.3333333333333335,451
2.4166666666666665,466
2.5,481
2.5833333333333335,494
2.6666666666666665,509
2.75,528
2.8333333333333335,532
2.9166666666666665,550
3,561
3.0833333333333335,570
3.1666666666666665,579
3.25,583
3.3333333333333335,594
3.4166666666666665,602
3.5,617
3.5833333333333335,633
3.6666666666666665,639
3.75,656
3.8333333333333335,668
3.9166666666666665,670
4,683
4.083333333333333,686
4.166666666666667,699
4.25,710
4.333333333333333,713
4.416666666666667,726
4.5,738
4.583333333333333,733
4.666666666666667,748
4.75,753
4.833333333333333,766
4.916666666666667,775
5,782
5.083333333333333,791
5.166666666666667,804
5.25,803
5.333333333333333,822
5.416666666666667,832
5.5,839
5.583333333333333,844
5.666666666666667,853
5.75,865
5.833333333333333,876
5.916666666666667,886
6,898
6.083333333333333,902
6.166666666666667,901
6.25,915
6.333333333333333,920
6.416666666666667,927
6.5,932
6.583333333333333,941
6.666666666666667,951
6.75,958
6.833333333333333,966
6.916666666666667,973
7,983
7.083333333333333,997
7.166666666666667,1001
7.25,997
7.333333333333333,1008
7.416666666666667,1013
7.5,1028
7.583333333333333,1028
7.666666666666667,1039
7.75,1042
7.833333333333333,1052
7.916666666666667,1050
8,1056
8.083333333333334,1066
8.166666666666666,1064
8.25,1078
8.333333333333334,1081
8.416666666666666,1089
8.5,1092
8.583333333333334,1099
8.666666666666666,1107
8.75,1109
8.833333333333334,1122
8.916666666666666,1130
9,1133
9.083333333333334,1150
9.166666666666666,1152
9.25,1152
9.333333333333334,1166
9.416666666666666,1174
9.5,1174
9.583333333333334,1182
9.666666666666666,1184
9.75,1187
9.833333333333334,1194
9.916666666666666,1192
10,1196
10.083333333333334,1200
10.166666666666666,1206
10.25,1214
10.333333333333334,1220
10.416666666666666,1227
10.5,1230
10.583333333333334,1235
10.666666666666666,1239
10.75,1242
10.833333333333334,1243
10.916666666666666,1255
11,1263
11.083333333333334,1261
11.166666666666666,1269
11.25,1270
11.333333333333334,1273
11.416666666666666,1274
11.5,1279
11.583333333333334,1287
11.666666666666666,1287
11.75,1290
11.833333333333334,1299
11.916666666666666,1310
12,1312
12.083333333333334,1319
12.166666666666666,1323
12.25,1327
12.333333333333334,1332
12.416666666666666,1338
12.5,1335
12.583333333333334,1339
12.666666666666666,1342
12.75,1344
12.833333333333334,1351
12.916666666666666,1351
13,1355
13.083333333333334,1365
13.166666666666666,1364
13.25,1370
13.333333333333334,1371
13.416666666666666,1381
13.5,1380
13.583333333333334,1382
13.666666666666666,1381
13.75,1389
13.833333333333334,1394
13.916666666666666,1405
14,1405
14.083333333333334,1413
14.166666666666666,1414
14.25,1412
14.333333333333334,1414
14.416666666666666,1422
14.5,1420
14.583333333333334,1423
14.666666666666666,1434
14.75,1434
14.833333333333334,1434
14.916666666666666,1432
15,1444
15.083333333333334,1438
15.166666666666666,1451
15.25,1453
15.333333333333334,1457
15.416666666666666,1460
15.5,1465
15.583333333333334,1462
15.666666666666666,1468
15.75,1466
15.833333333333334,1471
15.916666666666666,1473
16,1477
16.083333333333332,1482
16.166666666666668,1484
16.25,1490
16.333333333333332,1491
16.416666666666668,1489
16.5,1491
16.583333333333332,1490
16.666666666666668,1491
16.75,1493
16.833333333333332,1503
16.916666666666668,1504
17,1510
17.083333333333332,1514
17.166666666666668,1509
17.25,1516
17.333333333333332,1516
17.416666666666668,1514
17.5,1519
17.583333333333332,1520
17.666666666666668,1527
17.75,1526
17.833333333333332,1527
17.916666666666668,1528
18,1529
18.083333333333332,1530
18.166666666666668,1534
18.25,1534
18.333333333333332,1536
18.416666666666668,1540
18.5,1538
18.583333333333332,1545
18.666666666666668,1542
18.75,1547
18.833333333333332,1541
18.916666666666668,1556
19,1553
19.083333333333332,1549
19.166666666666668,1566
19.25,1564
19.333333333333332,1560
19.416666666666668,1563
19.5,1567
19.583333333333332,1571
19.666666666666668,1568
19.75,1578
19.833333333333332,1577
19.916666666666668,1581
20,1581
20.083333333333332,1589
20.166666666666668,1582
20.25,1594
20.333333333333332,1593
20.416666666666668,1597
20.5,1597
20.583333333333332,1602
20.666666666666668,1599
20.75,1598
20.833333333333332,1597
20.916666666666668,1605
21,1604
21.083333333333332,1612
21.166666666666668,1607
21.25,1612
21.333333333333332,1616
21.416666666666668,1613
21.5,1619
21.583333333333332,1620
21.666666666666668,1613
21.75,1614
21.833333333333332,1621
21.916666666666668,1617
22,1624
22.083333333333332,1624
22.166666666666668,1625
22.25,1628
22.333333333333332,1629
22.416666666666668,1638
22.5,1639
22.583333333333332,1639
22.666666666666668,1642
22.75,1647
22.833333333333332,1641
22.916666666666668,1648
23,1651
23.083333333333332,1651
23.166666666666668,1657
23.25,1655
23.333333333333332,1663
23.416666666666668,1665
23.5,1659
23.583333333333332,1663
23.666666666666668,1663
23.75,1660
23.833333333333332,1671
23.916666666666668,1670
24,1671
24.083333333333332,1674
24.166666666666668,1674
24.25,1672
