"Hours since thread went live","Wonderful Precure! • Wonderful Pretty Cure! - Episode 18 discussion"
0,1
0,3
0.08333333333333333,4
0.16666666666666666,5
0.25,5
0.3333333333333333,6
0.4166666666666667,6
0.5,8
0.5833333333333334,9
0.6666666666666666,10
0.75,11
0.8333333333333334,10
0.9166666666666666,10
1,10
1.0833333333333333,10
1.1666666666666667,10
1.25,10
1.3333333333333333,11
1.4166666666666667,10
1.5,11
1.5833333333333333,11
1.6666666666666667,10
1.75,11
1.8333333333333333,11
1.9166666666666667,12
2,10
2.0833333333333335,11
2.1666666666666665,10
2.25,11
2.3333333333333335,11
2.4166666666666665,10
2.5,9
2.5833333333333335,10
2.6666666666666665,10
2.75,14
2.8333333333333335,15
2.9166666666666665,14
3,18
3.0833333333333335,19
3.1666666666666665,17
3.25,17
3.3333333333333335,19
3.4166666666666665,20
3.5,19
3.5833333333333335,19
3.6666666666666665,18
3.75,18
3.8333333333333335,20
3.9166666666666665,21
4,21
4.083333333333333,21
4.166666666666667,18
4.25,20
4.333333333333333,20
4.416666666666667,20
4.5,23
4.583333333333333,20
4.666666666666667,22
4.75,22
4.833333333333333,24
4.916666666666667,23
5,22
5.083333333333333,21
5.166666666666667,23
5.25,22
5.333333333333333,24
5.416666666666667,21
5.5,23
5.583333333333333,24
5.666666666666667,21
5.75,23
5.833333333333333,23
5.916666666666667,22
6,23
6.083333333333333,25
6.166666666666667,23
6.25,24
6.333333333333333,25
6.416666666666667,23
6.5,25
6.583333333333333,23
6.666666666666667,25
6.75,24
6.833333333333333,26
6.916666666666667,24
7,26
7.083333333333333,27
7.166666666666667,27
7.25,26
7.333333333333333,26
7.416666666666667,27
7.5,26
7.583333333333333,27
7.666666666666667,29
7.75,27
7.833333333333333,27
7.916666666666667,26
8,27
8.083333333333334,26
8.166666666666666,27
8.25,26
8.333333333333334,27
8.416666666666666,26
8.5,27
8.583333333333334,27
8.666666666666666,26
8.75,29
8.833333333333334,27
8.916666666666666,27
9,25
9.083333333333334,28
9.166666666666666,29
9.25,27
9.333333333333334,26
9.416666666666666,27
9.5,27
9.583333333333334,28
9.666666666666666,28
9.75,25
9.833333333333334,27
9.916666666666666,25
10,27
10.083333333333334,28
10.166666666666666,27
10.25,28
10.333333333333334,28
10.416666666666666,25
10.5,33
10.583333333333334,31
10.666666666666666,32
10.75,30
10.833333333333334,26
10.916666666666666,27
11,26
11.083333333333334,30
11.166666666666666,25
11.25,30
11.333333333333334,25
11.416666666666666,33
11.5,26
11.583333333333334,32
11.666666666666666,27
11.75,31
11.833333333333334,30
11.916666666666666,30
12,30
12.083333333333334,28
12.166666666666666,29
12.25,28
12.333333333333334,28
12.416666666666666,29
12.5,32
12.583333333333334,31
12.666666666666666,31
12.75,34
12.833333333333334,32
12.916666666666666,30
13,27
13.083333333333334,31
13.166666666666666,28
13.25,29
13.333333333333334,28
13.416666666666666,32
13.5,32
13.583333333333334,32
13.666666666666666,31
13.75,34
13.833333333333334,28
13.916666666666666,32
14,32
14.083333333333334,34
14.166666666666666,32
14.25,30
14.333333333333334,31
14.416666666666666,31
14.5,28
14.583333333333334,32
14.666666666666666,32
14.75,32
14.833333333333334,33
14.916666666666666,35
15,30
15.083333333333334,33
15.166666666666666,34
15.25,35
15.333333333333334,31
15.416666666666666,34
15.5,34
15.583333333333334,35
15.666666666666666,31
15.75,30
15.833333333333334,29
15.916666666666666,29
16,31
16.083333333333332,30
16.166666666666668,32
16.25,33
16.333333333333332,34
16.416666666666668,35
16.5,32
16.583333333333332,33
16.666666666666668,34
16.75,30
16.833333333333332,34
16.916666666666668,34
17,34
17.083333333333332,32
17.166666666666668,29
17.25,32
17.333333333333332,32
17.416666666666668,31
17.5,32
17.583333333333332,33
17.666666666666668,31
17.75,30
17.833333333333332,33
17.916666666666668,33
18,31
18.083333333333332,29
18.166666666666668,32
18.25,29
18.333333333333332,33
18.416666666666668,35
18.5,34
18.583333333333332,34
18.666666666666668,34
18.75,36
18.833333333333332,37
18.916666666666668,35
19,32
19.083333333333332,35
19.166666666666668,33
19.25,34
19.333333333333332,32
19.416666666666668,34
19.5,35
19.583333333333332,34
19.666666666666668,37
19.75,34
19.833333333333332,36
19.916666666666668,33
20,32
20.083333333333332,30
20.166666666666668,33
20.25,34
20.333333333333332,32
20.416666666666668,33
20.5,37
20.583333333333332,31
20.666666666666668,33
20.75,32
20.833333333333332,37
20.916666666666668,35
21,33
21.083333333333332,34
21.166666666666668,35
21.25,36
21.333333333333332,35
21.416666666666668,36
21.5,36
21.583333333333332,36
21.666666666666668,32
21.75,37
21.833333333333332,32
21.916666666666668,34
22,34
22.083333333333332,33
22.166666666666668,35
22.25,31
22.333333333333332,31
22.416666666666668,32
22.5,32
22.583333333333332,34
22.666666666666668,33
22.75,36
22.833333333333332,33
22.916666666666668,35
23,34
23.166666666666668,38
23.25,35
23.333333333333332,35
23.416666666666668,38
