"Hours since thread went live","Tensei Kizoku, Kantei Skill de Nariagaru • As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World - Episode 9 discussion"
0,2
0,1
0.08333333333333333,2
0.16666666666666666,5
0.25,4
0.3333333333333333,4
0.4166666666666667,7
0.5,8
0.5833333333333334,9
0.6666666666666666,10
0.75,12
0.8333333333333334,15
0.9166666666666666,19
1,20
1.0833333333333333,27
1.1666666666666667,27
1.25,26
1.3333333333333333,27
1.4166666666666667,33
1.5,32
1.5833333333333333,36
1.6666666666666667,39
1.75,45
1.8333333333333333,44
1.9166666666666667,46
2,49
2.0833333333333335,52
2.1666666666666665,51
2.25,53
2.3333333333333335,56
2.4166666666666665,57
2.5,58
2.5833333333333335,57
2.6666666666666665,58
2.75,65
2.8333333333333335,66
2.9166666666666665,64
3,67
3.0833333333333335,71
3.1666666666666665,73
3.25,72
3.3333333333333335,78
3.4166666666666665,77
3.5,85
3.5833333333333335,89
3.6666666666666665,86
3.75,86
3.8333333333333335,92
3.9166666666666665,94
4,92
4.083333333333333,95
4.166666666666667,97
4.25,98
4.333333333333333,98
4.416666666666667,99
4.5,98
4.583333333333333,100
4.666666666666667,105
4.75,102
4.833333333333333,105
4.916666666666667,103
5,104
5.083333333333333,109
5.166666666666667,112
5.25,112
5.333333333333333,117
5.416666666666667,118
5.5,118
5.583333333333333,120
5.666666666666667,125
5.75,125
5.833333333333333,129
5.916666666666667,130
6,127
6.083333333333333,131
6.166666666666667,132
6.25,132
6.333333333333333,137
6.416666666666667,138
6.5,142
6.583333333333333,142
6.666666666666667,146
6.75,149
6.833333333333333,150
6.916666666666667,151
7,153
7.083333333333333,153
7.166666666666667,156
7.25,158
7.333333333333333,159
7.416666666666667,158
7.5,160
7.583333333333333,160
7.666666666666667,160
7.75,164
7.833333333333333,164
7.916666666666667,170
8,169
8.083333333333334,172
8.166666666666666,176
8.25,176
8.333333333333334,175
8.416666666666666,176
8.5,175
8.583333333333334,173
8.666666666666666,173
8.75,175
8.833333333333334,182
8.916666666666666,179
9,179
9.083333333333334,178
9.166666666666666,188
9.25,185
9.333333333333334,183
9.416666666666666,183
9.583333333333334,193
9.666666666666666,191
9.75,190
9.833333333333334,197
