"Hours since thread went live","Shingeki no Kyojin: The Final Season - Episode 69 discussion"
0,1
0,107
0.08333333333333333,320
0.16666666666666666,517
0.25,740
0.3333333333333333,1049
0.4166666666666667,1367
0.5,1666
0.5833333333333334,1953
0.6666666666666666,2260
0.75,2529
0.8333333333333334,2799
0.9166666666666666,3045
1,3279
1.0833333333333333,3514
1.1666666666666667,3744
1.25,3973
1.3333333333333333,4189
1.4166666666666667,4362
1.5,4574
1.5833333333333333,4772
1.6666666666666667,4927
1.75,5093
1.8333333333333333,5240
1.9166666666666667,5408
2,5534
2.0833333333333335,5671
2.1666666666666665,5824
2.25,5973
2.3333333333333335,6126
2.4166666666666665,6268
2.5,6407
2.5833333333333335,6552
2.6666666666666665,6676
2.75,6814
2.8333333333333335,6930
2.9166666666666665,7064
3,7185
3.0833333333333335,7294
3.1666666666666665,7427
3.25,7541
3.3333333333333335,7658
3.4166666666666665,7760
3.5,7854
3.5833333333333335,7942
3.6666666666666665,8031
3.75,8124
3.8333333333333335,8210
3.9166666666666665,8300
4,8405
4.083333333333333,8485
4.166666666666667,8582
4.25,8658
4.333333333333333,8740
4.416666666666667,8823
4.5,8901
4.583333333333333,8981
4.666666666666667,9067
4.75,9151
4.833333333333333,9239
4.916666666666667,9329
5,9392
5.083333333333333,9473
5.166666666666667,9539
5.25,9622
5.333333333333333,9702
5.416666666666667,9781
5.5,9853
5.583333333333333,9948
5.666666666666667,10024
5.75,10109
5.833333333333333,10176
5.916666666666667,10253
6,10309
6.083333333333333,10383
6.166666666666667,10455
6.25,10533
6.333333333333333,10619
6.416666666666667,10699
6.5,10775
6.583333333333333,10848
6.666666666666667,10903
6.75,10973
6.833333333333333,11043
6.916666666666667,11098
7,11154
7.083333333333333,11209
7.166666666666667,11262
7.25,11316
7.333333333333333,11363
7.416666666666667,11422
7.5,11479
7.583333333333333,11542
7.666666666666667,11589
7.75,11636
7.833333333333333,11694
7.916666666666667,11753
8,11817
8.083333333333334,11869
8.166666666666666,11917
8.25,11963
8.333333333333334,12012
8.416666666666666,12058
8.5,12121
8.583333333333334,12181
8.666666666666666,12228
8.75,12273
8.833333333333334,12320
8.916666666666666,12370
9,12432
9.083333333333334,12476
9.166666666666666,12533
9.25,12579
9.333333333333334,12621
9.416666666666666,12660
9.5,12706
9.583333333333334,12753
9.666666666666666,12814
9.75,12853
9.833333333333334,12902
9.916666666666666,12944
10,12980
10.083333333333334,13023
10.166666666666666,13071
10.25,13116
10.333333333333334,13157
10.416666666666666,13196
10.5,13237
10.583333333333334,13276
10.666666666666666,13328
10.75,13364
10.833333333333334,13404
10.916666666666666,13450
11,13487
11.083333333333334,13526
11.166666666666666,13569
11.25,13613
11.333333333333334,13650
11.416666666666666,13703
11.5,13731
11.583333333333334,13765
11.666666666666666,13803
11.75,13835
11.833333333333334,13867
11.916666666666666,13900
12,13936
12.083333333333334,13979
12.166666666666666,14005
12.25,14045
12.333333333333334,14079
12.416666666666666,14120
12.5,14145
12.583333333333334,14165
12.666666666666666,14181
12.75,14222
12.833333333333334,14253
12.916666666666666,14274
13,14312
13.083333333333334,14337
13.166666666666666,14369
13.25,14401
13.333333333333334,14421
13.416666666666666,14460
13.5,14486
13.583333333333334,14517
13.666666666666666,14526
13.75,14564
13.833333333333334,14583
13.916666666666666,14609
14,14636
14.083333333333334,14658
14.166666666666666,14689
14.25,14716
14.333333333333334,14740
14.416666666666666,14759
14.5,14784
14.583333333333334,14804
14.666666666666666,14830
14.75,14851
14.833333333333334,14872
14.916666666666666,14892
15,14915
15.083333333333334,14943
15.166666666666666,14961
15.25,14988
15.333333333333334,15018
15.416666666666666,15042
15.5,15070
15.583333333333334,15100
15.666666666666666,15124
15.75,15139
15.833333333333334,15159
15.916666666666666,15183
16,15203
16.083333333333332,15220
16.166666666666668,15233
16.25,15262
16.333333333333332,15271
16.416666666666668,15298
16.5,15319
16.583333333333332,15342
16.666666666666668,15360
16.75,15385
16.833333333333332,15395
16.916666666666668,15421
17,15440
17.083333333333332,15459
17.166666666666668,15477
17.25,15494
17.333333333333332,15504
17.416666666666668,15517
17.5,15531
17.583333333333332,15536
17.666666666666668,15555
17.75,15567
17.833333333333332,15577
17.916666666666668,15584
18,15594
18.083333333333332,15604
18.166666666666668,15613
18.25,15616
18.333333333333332,15643
18.416666666666668,15644
18.5,15660
18.583333333333332,15668
18.666666666666668,15673
18.75,15681
18.833333333333332,15695
18.916666666666668,15712
19,15715
19.083333333333332,15724
19.166666666666668,15748
19.25,15754
19.333333333333332,15759
19.416666666666668,15768
19.5,15771
19.583333333333332,15779
19.666666666666668,15792
19.75,15796
19.833333333333332,15803
19.916666666666668,15805
20,15818
20.083333333333332,15819
20.166666666666668,15832
20.25,15831
20.333333333333332,15844
20.416666666666668,15848
20.5,15863
20.583333333333332,15860
20.666666666666668,15876
20.75,15880
20.833333333333332,15891
20.916666666666668,15912
21,15925
21.083333333333332,15927
21.166666666666668,15940
21.25,15954
21.333333333333332,15958
21.416666666666668,15959
21.5,15968
21.583333333333332,15977
21.666666666666668,15986
21.75,15995
21.833333333333332,15994
21.916666666666668,16003
22,16021
22.083333333333332,16019
22.166666666666668,16032
22.25,16049
22.333333333333332,16045
22.416666666666668,16052
22.5,16063
22.583333333333332,16074
22.666666666666668,16078
22.75,16083
22.833333333333332,16095
22.916666666666668,16096
23,16106
23.083333333333332,16115
23.166666666666668,16120
23.25,16115
23.333333333333332,16130
23.416666666666668,16121
23.5,16133
23.583333333333332,16135
23.666666666666668,16149
23.75,16155
23.833333333333332,16157
23.916666666666668,16160
24,16172
24.083333333333332,16172
24.166666666666668,16182
24.25,16186
24.333333333333332,16190
24.416666666666668,16190
24.5,16196
24.583333333333332,16202
24.666666666666668,16208
24.75,16211
24.833333333333332,16212
24.916666666666668,16216
25,16230
25.083333333333332,16232
25.166666666666668,16230
25.25,16230
25.333333333333332,16233
25.416666666666668,16241
25.5,16248
25.583333333333332,16258
25.666666666666668,16259
25.75,16260
25.833333333333332,16262
25.916666666666668,16259
26,16273
26.083333333333332,16265
26.166666666666668,16274
26.25,16282
26.333333333333332,16282
26.416666666666668,16284
26.5,16285
26.583333333333332,16295
26.666666666666668,16299
26.75,16307
26.833333333333332,16299
26.916666666666668,16301
27,16307
27.083333333333332,16314
27.166666666666668,16320
27.25,16318
27.333333333333332,16320
27.416666666666668,16325
27.5,16324
27.583333333333332,16331
27.666666666666668,16332
27.75,16337
27.833333333333332,16340
27.916666666666668,16346
28,16352
28.083333333333332,16359
28.166666666666668,16366
28.25,16365
28.333333333333332,16370
28.416666666666668,16371
28.5,16378
28.583333333333332,16374
28.666666666666668,16378
28.75,16382
28.833333333333332,16384
28.916666666666668,16388
29,16387
29.083333333333332,16391
29.166666666666668,16402
29.25,16401
29.333333333333332,16400
29.416666666666668,16405
29.5,16400
29.583333333333332,16410
29.666666666666668,16402
29.75,16410
29.833333333333332,16417
29.916666666666668,16426
30,16425
30.083333333333332,16436
30.166666666666668,16437
30.25,16437
30.333333333333332,16444
30.416666666666668,16437
30.5,16440
30.583333333333332,16447
30.666666666666668,16442
30.75,16442
30.833333333333332,16457
30.916666666666668,16456
31,16454
31.083333333333332,16459
31.166666666666668,16453
31.25,16458
