"Hours since thread went live","Shingeki no Kyojin: The Final Season - Episode 71 discussion"
0,17
0.08333333333333333,115
0.08333333333333333,261
0.25,431
0.3333333333333333,571
0.4166666666666667,729
0.5,857
0.5833333333333334,1022
0.6666666666666666,1297
0.75,1546
0.8333333333333334,1770
0.9166666666666666,2026
1,2307
1.0833333333333333,2549
1.1666666666666667,2785
1.25,3008
1.3333333333333333,3227
1.4166666666666667,3461
1.5,3639
1.5833333333333333,3838
1.6666666666666667,4002
1.75,4166
1.8333333333333333,4336
1.9166666666666667,4496
2,4659
2.0833333333333335,4818
2.1666666666666665,4994
2.25,5133
2.3333333333333335,5294
2.4166666666666665,5429
2.5,5559
2.5833333333333335,5686
2.6666666666666665,5821
2.75,5931
2.8333333333333335,6035
2.9166666666666665,6165
3,6286
3.0833333333333335,6390
3.1666666666666665,6505
3.25,6620
3.3333333333333335,6744
3.4166666666666665,6864
3.5,6977
3.5833333333333335,7064
3.6666666666666665,7176
3.75,7280
3.8333333333333335,7390
3.9166666666666665,7495
4,7575
4.083333333333333,7662
4.166666666666667,7751
4.25,7843
4.333333333333333,7948
4.416666666666667,8033
4.5,8101
4.583333333333333,8184
4.666666666666667,8265
4.75,8350
4.833333333333333,8407
4.916666666666667,8488
5,8569
5.083333333333333,8649
5.166666666666667,8701
5.25,8783
5.333333333333333,8859
5.416666666666667,8918
5.5,8996
5.583333333333333,9060
5.666666666666667,9123
5.75,9183
5.833333333333333,9274
5.916666666666667,9339
6,9418
6.083333333333333,9477
6.166666666666667,9546
6.25,9600
6.333333333333333,9659
6.416666666666667,9735
6.5,9787
6.583333333333333,9850
6.666666666666667,9908
6.75,9969
6.833333333333333,10029
6.916666666666667,10070
7,10133
7.083333333333333,10199
7.166666666666667,10265
7.25,10309
7.333333333333333,10383
7.416666666666667,10428
7.5,10474
7.583333333333333,10518
7.666666666666667,10575
7.75,10641
7.833333333333333,10683
7.916666666666667,10735
8,10802
8.083333333333334,10859
8.166666666666666,10912
8.25,10969
8.333333333333334,11031
8.416666666666666,11092
8.5,11132
8.583333333333334,11180
8.666666666666666,11227
8.75,11266
8.833333333333334,11324
8.916666666666666,11368
9,11406
9.083333333333334,11477
9.166666666666666,11512
9.25,11570
9.333333333333334,11606
9.416666666666666,11663
9.5,11723
9.583333333333334,11768
9.666666666666666,11809
9.75,11849
9.833333333333334,11908
9.916666666666666,11948
10,11994
10.083333333333334,12036
10.166666666666666,12071
10.25,12125
10.333333333333334,12159
10.416666666666666,12199
10.5,12245
10.583333333333334,12274
10.666666666666666,12302
10.75,12346
10.833333333333334,12382
10.916666666666666,12412
11,12442
11.083333333333334,12483
11.166666666666666,12525
11.25,12559
11.333333333333334,12594
11.416666666666666,12634
11.5,12670
11.583333333333334,12700
11.666666666666666,12742
11.75,12769
11.833333333333334,12810
11.916666666666666,12838
12,12859
12.083333333333334,12899
12.166666666666666,12939
12.25,12955
12.333333333333334,12989
12.416666666666666,13023
12.5,13045
12.583333333333334,13074
12.666666666666666,13109
12.75,13139
12.833333333333334,13162
12.916666666666666,13186
13,13228
13.083333333333334,13263
13.166666666666666,13270
13.25,13290
13.333333333333334,13320
13.416666666666666,13347
13.5,13367
13.583333333333334,13402
13.666666666666666,13438
13.75,13456
13.833333333333334,13470
13.916666666666666,13493
14,13498
14.083333333333334,13523
14.166666666666666,13540
14.25,13572
14.333333333333334,13605
14.416666666666666,13622
14.5,13654
14.583333333333334,13660
14.666666666666666,13702
14.75,13721
14.833333333333334,13745
14.916666666666666,13768
15,13783
15.083333333333334,13800
15.166666666666666,13823
15.25,13843
15.333333333333334,13868
15.416666666666666,13890
15.5,13915
15.583333333333334,13937
15.666666666666666,13959
15.75,13984
15.833333333333334,14019
15.916666666666666,14030
16,14056
16.083333333333332,14084
16.166666666666668,14102
16.25,14125
16.333333333333332,14143
16.416666666666668,14164
16.5,14182
16.583333333333332,14209
16.666666666666668,14217
16.75,14223
16.833333333333332,14233
16.916666666666668,14243
17,14255
17.083333333333332,14256
17.166666666666668,14266
17.25,14287
17.333333333333332,14286
17.416666666666668,14300
17.5,14308
17.583333333333332,14320
17.666666666666668,14322
17.75,14331
17.833333333333332,14340
17.916666666666668,14351
18,14353
18.083333333333332,14355
18.166666666666668,14371
18.25,14380
18.333333333333332,14379
18.416666666666668,14397
18.5,14404
18.583333333333332,14413
18.666666666666668,14421
18.75,14428
18.833333333333332,14438
18.916666666666668,14437
19,14442
19.083333333333332,14447
19.166666666666668,14465
19.25,14470
19.333333333333332,14477
19.416666666666668,14502
19.5,14499
19.583333333333332,14505
19.666666666666668,14510
19.75,14522
19.833333333333332,14529
19.916666666666668,14545
20,14544
20.083333333333332,14552
20.166666666666668,14560
20.25,14570
20.333333333333332,14577
20.416666666666668,14586
20.5,14597
20.583333333333332,14606
20.666666666666668,14601
20.75,14606
20.833333333333332,14622
20.916666666666668,14621
21,14643
21.083333333333332,14644
21.166666666666668,14656
21.25,14664
21.333333333333332,14670
21.416666666666668,14668
21.5,14679
21.583333333333332,14694
21.666666666666668,14701
21.75,14709
21.833333333333332,14724
21.916666666666668,14733
22,14738
22.083333333333332,14743
22.166666666666668,14754
22.25,14767
22.333333333333332,14770
22.416666666666668,14781
22.5,14787
22.583333333333332,14789
22.666666666666668,14804
22.75,14807
22.833333333333332,14816
22.916666666666668,14820
23,14823
23.083333333333332,14841
23.166666666666668,14833
23.25,14847
23.333333333333332,14855
23.416666666666668,14852
23.5,14865
23.583333333333332,14867
23.666666666666668,14868
23.75,14888
23.833333333333332,14887
23.916666666666668,14892
24,14900
24.083333333333332,14910
24.166666666666668,14911
24.25,14913
24.333333333333332,14911
24.416666666666668,14924
24.5,14925
24.583333333333332,14938
24.666666666666668,14944
24.75,14948
24.833333333333332,14955
24.916666666666668,14956
25,14967
25.083333333333332,14967
25.166666666666668,14972
25.25,14979
25.333333333333332,14987
25.416666666666668,14987
25.5,14989
25.583333333333332,14995
25.666666666666668,15001
25.75,15008
25.833333333333332,15015
25.916666666666668,15013
26,15026
26.083333333333332,15021
26.166666666666668,15035
26.25,15031
26.333333333333332,15037
26.416666666666668,15038
26.5,15051
26.583333333333332,15050
26.666666666666668,15054
26.75,15056
26.833333333333332,15059
26.916666666666668,15059
27,15068
27.083333333333332,15074
27.166666666666668,15079
27.25,15074
27.333333333333332,15083
27.416666666666668,15084
27.5,15089
27.583333333333332,15098
27.666666666666668,15091
27.75,15093
27.833333333333332,15096
27.916666666666668,15112
28,15118
28.083333333333332,15117
28.166666666666668,15130
28.25,15130
28.333333333333332,15130
28.416666666666668,15133
28.5,15134
28.583333333333332,15136
28.666666666666668,15145
28.75,15147
28.833333333333332,15146
28.916666666666668,15155
29,15167
29.083333333333332,15165
29.166666666666668,15163
29.25,15167
29.333333333333332,15173
29.416666666666668,15176
29.5,15181
29.583333333333332,15188
29.666666666666668,15191
29.75,15200
29.833333333333332,15198
29.916666666666668,15206
30,15201
30.083333333333332,15214
30.166666666666668,15209
30.25,15218
30.333333333333332,15220
30.416666666666668,15222
30.5,15222
30.583333333333332,15220
30.666666666666668,15223
30.75,15228
30.833333333333332,15225
30.916666666666668,15229
31,15240
31.083333333333332,15237
31.166666666666668,15244
31.25,15245
31.333333333333332,15246
31.416666666666668,15258
31.5,15258
31.583333333333332,15253
31.666666666666668,15259
31.75,15261
31.833333333333332,15264
31.916666666666668,15261
32,15267
32.083333333333336,15270
32.166666666666664,15265
32.25,15277
32.333333333333336,15282
32.416666666666664,15276
32.5,15272
32.583333333333336,15279
32.666666666666664,15287
32.75,15284
32.833333333333336,15295
32.916666666666664,15293
33,15303
33.083333333333336,15298
33.166666666666664,15300
33.25,15308
33.333333333333336,15307
33.416666666666664,15312
33.5,15318
33.583333333333336,15316
33.666666666666664,15316
33.75,15320
33.833333333333336,15319
33.916666666666664,15319
34,15322
34.083333333333336,15329
34.166666666666664,15324
34.25,15338
34.333333333333336,15333
34.416666666666664,15334
34.5,15342
34.583333333333336,15342
34.666666666666664,15343
34.75,15342
34.833333333333336,15341
34.916666666666664,15341
35,15345
35.083333333333336,15349
35.166666666666664,15347
35.25,15350
35.333333333333336,15351
35.416666666666664,15359
35.5,15359
35.583333333333336,15358
35.666666666666664,15355
35.75,15358
35.833333333333336,15352
35.916666666666664,15358
36,15363
36.083333333333336,15365
36.166666666666664,15362
36.25,15369
36.333333333333336,15366
36.416666666666664,15371
36.5,15374
36.583333333333336,15366
36.666666666666664,15375
36.75,15376
36.833333333333336,15371
36.916666666666664,15378
37,15382
37.083333333333336,15383
37.166666666666664,15378
37.25,15386
37.333333333333336,15384
37.416666666666664,15380
37.5,15392
37.583333333333336,15386
37.666666666666664,15380
37.75,15391
37.833333333333336,15393
37.916666666666664,15395
38,15389
38.083333333333336,15389
38.166666666666664,15392
38.25,15390
38.333333333333336,15397
38.416666666666664,15399
38.5,15397
38.583333333333336,15399
38.666666666666664,15397
38.75,15407
38.833333333333336,15398
38.916666666666664,15406
39,15407
39.083333333333336,15404
39.166666666666664,15403
39.25,15407
39.333333333333336,15413
39.416666666666664,15413
39.5,15409
39.583333333333336,15408
39.666666666666664,15409
39.75,15407
39.833333333333336,15411
39.916666666666664,15411
40,15417
40.083333333333336,15413
40.166666666666664,15424
40.25,15416
40.333333333333336,15417
40.416666666666664,15416
40.5,15423
40.583333333333336,15425
40.666666666666664,15426
40.75,15435
40.833333333333336,15425
40.916666666666664,15429
41,15431
41.083333333333336,15440
