"Hours since thread went live","Shingeki no Kyojin: The Final Season - Episode 72 discussion"
0,1
0.08333333333333333,103
0.16666666666666666,215
0.25,384
0.3333333333333333,508
0.4166666666666667,643
0.5,793
0.5833333333333334,935
0.6666666666666666,1086
0.75,1259
0.8333333333333334,1417
0.9166666666666666,1571
1,1740
1.0833333333333333,1900
1.1666666666666667,2121
1.25,2429
1.3333333333333333,2736
1.4166666666666667,3009
1.5,3253
1.5833333333333333,3480
1.6666666666666667,3715
1.75,3941
1.8333333333333333,4182
1.9166666666666667,4384
2,4580
2.0833333333333335,4755
2.1666666666666665,4990
2.25,5173
2.3333333333333335,5336
2.4166666666666665,5538
2.5,5724
2.5833333333333335,5882
2.6666666666666665,6054
2.75,6204
2.8333333333333335,6344
2.9166666666666665,6493
3,6617
3.0833333333333335,6769
3.1666666666666665,6916
3.25,7070
3.3333333333333335,7185
3.4166666666666665,7298
3.5,7421
3.5833333333333335,7535
3.6666666666666665,7640
3.75,7744
3.8333333333333335,7850
3.9166666666666665,7982
4,8084
4.083333333333333,8175
4.166666666666667,8279
4.25,8373
4.333333333333333,8478
4.416666666666667,8535
4.5,8644
4.583333333333333,8746
4.666666666666667,8832
4.75,8918
4.833333333333333,8993
4.916666666666667,9083
5,9157
5.083333333333333,9243
5.166666666666667,9337
5.25,9421
5.333333333333333,9511
5.416666666666667,9577
5.5,9677
5.583333333333333,9768
5.666666666666667,9860
5.75,9939
5.833333333333333,10002
5.916666666666667,10078
6,10168
6.083333333333333,10247
6.166666666666667,10317
6.25,10397
6.333333333333333,10470
6.416666666666667,10564
6.5,10652
6.583333333333333,10733
6.666666666666667,10810
6.75,10887
6.833333333333333,10954
6.916666666666667,11012
7,11088
7.083333333333333,11144
7.166666666666667,11219
7.25,11285
7.333333333333333,11345
7.416666666666667,11416
7.5,11480
7.583333333333333,11536
7.666666666666667,11605
7.75,11664
7.833333333333333,11728
7.916666666666667,11780
8,11844
8.083333333333334,11893
8.166666666666666,11953
8.25,12008
8.333333333333334,12045
8.416666666666666,12102
8.5,12170
8.583333333333334,12215
8.666666666666666,12271
8.75,12305
8.833333333333334,12362
8.916666666666666,12417
9,12469
9.083333333333334,12529
9.166666666666666,12581
9.25,12620
9.333333333333334,12683
9.416666666666666,12734
9.5,12789
9.583333333333334,12827
9.666666666666666,12888
9.75,12940
9.833333333333334,12989
9.916666666666666,13040
10,13095
10.083333333333334,13145
10.166666666666666,13206
10.25,13266
10.333333333333334,13297
10.416666666666666,13341
10.5,13385
10.583333333333334,13435
10.666666666666666,13477
10.75,13532
10.833333333333334,13570
10.916666666666666,13617
11,13648
11.083333333333334,13691
11.166666666666666,13736
11.25,13775
11.333333333333334,13806
11.416666666666666,13848
11.5,13887
11.583333333333334,13923
11.666666666666666,13948
11.75,14000
11.833333333333334,14023
11.916666666666666,14059
12,14107
12.083333333333334,14140
12.166666666666666,14171
12.25,14207
12.333333333333334,14250
12.416666666666666,14270
12.5,14309
12.583333333333334,14339
12.666666666666666,14361
12.75,14386
12.833333333333334,14419
12.916666666666666,14444
13,14479
13.083333333333334,14491
13.166666666666666,14526
13.25,14552
13.333333333333334,14575
13.416666666666666,14604
13.5,14633
13.583333333333334,14658
13.666666666666666,14685
13.75,14704
13.833333333333334,14733
13.916666666666666,14759
14,14800
14.083333333333334,14817
14.166666666666666,14836
14.25,14868
14.333333333333334,14878
14.416666666666666,14910
14.5,14940
14.583333333333334,14963
14.666666666666666,15003
14.75,15011
14.833333333333334,15046
14.916666666666666,15071
15,15097
15.083333333333334,15110
15.166666666666666,15137
15.25,15151
15.333333333333334,15183
15.416666666666666,15207
15.5,15226
15.583333333333334,15242
15.666666666666666,15262
15.75,15293
15.833333333333334,15318
15.916666666666666,15337
16,15352
16.083333333333332,15371
16.166666666666668,15382
16.25,15396
16.333333333333332,15414
