"Hours since thread went live","Shingeki no Kyojin: The Final Season - Episode 74 discussion"
0,1
0,4
0.08333333333333333,21
0.16666666666666666,36
0.25,82
0.3333333333333333,129
0.4166666666666667,183
0.5,233
0.5833333333333334,297
0.6666666666666666,363
0.75,430
0.8333333333333334,502
0.9166666666666666,587
1,674
1.0833333333333333,764
1.1666666666666667,835
1.25,941
1.3333333333333333,1050
1.4166666666666667,1146
1.5,1250
1.5833333333333333,1341
1.6666666666666667,1427
1.75,1538
1.8333333333333333,1628
1.9166666666666667,1719
2,1816
2.0833333333333335,1940
2.1666666666666665,2076
2.25,2183
2.3333333333333335,2281
2.4166666666666665,2402
2.5,2534
2.5833333333333335,2640
2.6666666666666665,2776
2.75,2903
2.8333333333333335,3037
2.9166666666666665,3172
3,3289
3.0833333333333335,3412
3.1666666666666665,3534
3.25,3663
3.3333333333333335,3787
3.4166666666666665,3896
3.5,4024
3.5833333333333335,4168
3.6666666666666665,4306
3.75,4404
3.8333333333333335,4526
3.9166666666666665,4660
4,4778
4.083333333333333,4962
4.166666666666667,5082
4.25,5184
4.333333333333333,5357
4.416666666666667,5535
4.5,5726
4.583333333333333,5885
4.666666666666667,6057
4.75,6248
4.833333333333333,6398
4.916666666666667,6542
5,6691
5.083333333333333,6815
5.166666666666667,6922
5.25,7051
5.333333333333333,7175
5.416666666666667,7294
5.5,7385
5.583333333333333,7489
5.666666666666667,7605
5.75,7737
5.833333333333333,7821
5.916666666666667,7925
6,8040
6.083333333333333,8149
6.166666666666667,8228
6.25,8319
6.333333333333333,8419
6.416666666666667,8520
6.5,8620
6.583333333333333,8717
6.666666666666667,8805
6.75,8884
6.833333333333333,8977
6.916666666666667,9066
7,9144
7.083333333333333,9242
7.166666666666667,9305
7.25,9405
7.333333333333333,9495
7.416666666666667,9553
7.5,9614
7.583333333333333,9698
7.666666666666667,9779
7.75,9840
7.833333333333333,9902
7.916666666666667,9979
8,10053
8.083333333333334,10106
8.166666666666666,10165
8.25,10238
8.333333333333334,10311
8.416666666666666,10366
8.5,10446
8.583333333333334,10504
8.666666666666666,10567
8.75,10614
8.833333333333334,10682
8.916666666666666,10752
9,10818
9.083333333333334,10882
9.166666666666666,10954
9.25,11008
9.333333333333334,11070
9.416666666666666,11140
9.5,11196
9.583333333333334,11248
9.666666666666666,11294
9.75,11346
9.833333333333334,11416
9.916666666666666,11465
10,11506
10.083333333333334,11552
10.166666666666666,11589
10.25,11651
10.333333333333334,11693
10.416666666666666,11753
10.5,11801
10.583333333333334,11845
10.666666666666666,11900
10.75,11945
10.833333333333334,11996
10.916666666666666,12034
11,12079
11.083333333333334,12117
11.166666666666666,12154
11.25,12193
11.333333333333334,12230
11.416666666666666,12274
11.5,12309
11.583333333333334,12344
11.666666666666666,12398
11.75,12439
11.833333333333334,12487
11.916666666666666,12522
12,12567
12.083333333333334,12606
12.166666666666666,12650
12.25,12691
12.333333333333334,12733
12.416666666666666,12775
12.5,12815
12.583333333333334,12860
12.666666666666666,12893
12.75,12925
12.833333333333334,12973
12.916666666666666,13021
13,13065
13.083333333333334,13104
13.166666666666666,13135
13.25,13174
13.333333333333334,13210
13.416666666666666,13248
13.5,13274
13.583333333333334,13301
13.666666666666666,13349
13.75,13385
13.833333333333334,13412
13.916666666666666,13453
14,13484
14.083333333333334,13499
14.166666666666666,13533
14.25,13569
14.333333333333334,13592
14.416666666666666,13631
14.5,13651
14.583333333333334,13692
14.666666666666666,13713
14.75,13744
14.833333333333334,13778
14.916666666666666,13817
15,13842
15.083333333333334,13862
15.166666666666666,13880
15.25,13908
15.333333333333334,13941
15.416666666666666,13963
15.5,13988
15.583333333333334,14009
15.666666666666666,14033
15.75,14058
15.833333333333334,14081
15.916666666666666,14097
16,14113
16.083333333333332,14145
16.166666666666668,14163
16.25,14177
16.333333333333332,14191
16.416666666666668,14220
16.5,14241
16.583333333333332,14256
16.666666666666668,14266
16.75,14297
16.833333333333332,14315
16.916666666666668,14317
17,14349
17.083333333333332,14378
17.166666666666668,14389
17.25,14409
17.333333333333332,14435
17.416666666666668,14448
17.5,14478
17.583333333333332,14495
17.666666666666668,14509
17.75,14552
17.833333333333332,14568
17.916666666666668,14592
18,14606
18.083333333333332,14607
18.166666666666668,14632
18.25,14657
18.333333333333332,14676
18.416666666666668,14698
18.5,14717
18.583333333333332,14740
18.666666666666668,14759
18.75,14783
18.833333333333332,14800
18.916666666666668,14818
19,14842
19.083333333333332,14879
19.166666666666668,14898
19.25,14926
19.333333333333332,14952
19.416666666666668,14971
19.5,14983
19.583333333333332,15001
19.666666666666668,15022
19.75,15045
19.833333333333332,15074
19.916666666666668,15093
20,15106
20.083333333333332,15124
20.166666666666668,15147
20.25,15167
20.333333333333332,15177
20.416666666666668,15195
20.5,15190
20.583333333333332,15200
20.666666666666668,15215
20.75,15225
20.833333333333332,15247
20.916666666666668,15263
21,15266
21.083333333333332,15274
