"Hours since thread went live","Shingeki no Kyojin: The Final Season - Episode 75 discussion - FINAL"
0,2
0,8
0.08333333333333333,28
0.16666666666666666,66
0.25,141
0.3333333333333333,195
0.4166666666666667,275
0.5,348
0.5833333333333334,434
0.6666666666666666,521
0.75,628
0.8333333333333334,726
0.9166666666666666,839
1,945
1.0833333333333333,1054
1.1666666666666667,1160
1.25,1275
1.3333333333333333,1398
1.4166666666666667,1521
1.5,1632
1.5833333333333333,1741
1.6666666666666667,1866
1.75,1971
1.8333333333333333,2080
1.9166666666666667,2187
2,2297
2.0833333333333335,2418
2.1666666666666665,2531
2.25,2657
2.3333333333333335,2782
2.4166666666666665,2894
2.5,3000
2.5833333333333335,3138
2.6666666666666665,3269
2.75,3389
2.8333333333333335,3511
2.9166666666666665,3637
3,3758
3.0833333333333335,3854
3.1666666666666665,3976
3.25,4116
3.3333333333333335,4229
3.4166666666666665,4383
3.5,4519
3.5833333333333335,4676
3.6666666666666665,4783
3.75,4920
3.8333333333333335,5072
3.9166666666666665,5219
4,5466
4.083333333333333,5692
4.166666666666667,5884
4.25,6087
4.333333333333333,6273
4.416666666666667,6458
4.5,6660
4.583333333333333,6840
4.666666666666667,7025
4.75,7196
4.833333333333333,7386
4.916666666666667,7549
5,7717
5.083333333333333,7907
5.166666666666667,8061
5.25,8191
5.333333333333333,8327
5.416666666666667,8479
5.5,8607
5.583333333333333,8736
5.666666666666667,8888
5.75,9002
5.833333333333333,9123
5.916666666666667,9245
6,9369
6.083333333333333,9475
6.166666666666667,9600
6.25,9720
6.333333333333333,9850
6.416666666666667,9942
6.5,10057
6.583333333333333,10159
6.666666666666667,10253
6.75,10352
6.833333333333333,10466
6.916666666666667,10553
7,10641
7.083333333333333,10721
7.166666666666667,10816
7.25,10903
7.333333333333333,10995
7.416666666666667,11081
7.5,11179
7.583333333333333,11245
7.666666666666667,11332
7.75,11411
7.833333333333333,11493
7.916666666666667,11594
8,11664
8.083333333333334,11760
8.166666666666666,11816
8.25,11890
8.333333333333334,11990
8.416666666666666,12056
8.5,12115
8.583333333333334,12202
8.666666666666666,12279
8.75,12362
8.833333333333334,12421
8.916666666666666,12490
9,12565
9.083333333333334,12642
9.166666666666666,12709
9.25,12775
9.333333333333334,12838
9.416666666666666,12894
9.5,12969
9.583333333333334,13033
9.666666666666666,13090
9.75,13164
9.833333333333334,13208
9.916666666666666,13272
10,13330
10.083333333333334,13379
10.166666666666666,13440
10.25,13498
10.333333333333334,13553
10.416666666666666,13606
10.5,13654
10.583333333333334,13696
10.666666666666666,13769
10.75,13816
10.833333333333334,13872
10.916666666666666,13925
11,13983
11.083333333333334,14038
11.166666666666666,14096
11.25,14152
11.333333333333334,14198
11.416666666666666,14252
11.5,14311
11.583333333333334,14361
11.666666666666666,14418
11.75,14460
11.833333333333334,14513
11.916666666666666,14560
12,14597
12.083333333333334,14652
12.166666666666666,14710
12.25,14751
12.333333333333334,14786
12.416666666666666,14842
12.5,14906
12.583333333333334,14954
12.666666666666666,15008
12.75,15058
12.833333333333334,15095
12.916666666666666,15142
13,15184
13.083333333333334,15221
13.166666666666666,15281
13.25,15312
13.333333333333334,15345
13.416666666666666,15380
13.5,15439
13.583333333333334,15474
13.666666666666666,15516
13.75,15557
13.833333333333334,15600
13.916666666666666,15641
14,15661
14.083333333333334,15709
14.166666666666666,15748
14.25,15784
14.333333333333334,15812
14.416666666666666,15856
14.5,15890
14.583333333333334,15920
14.666666666666666,15955
14.75,15988
14.833333333333334,16028
14.916666666666666,16076
15,16101
15.083333333333334,16133
15.166666666666666,16179
15.25,16208
15.333333333333334,16231
15.416666666666666,16261
15.5,16288
15.583333333333334,16324
15.666666666666666,16343
15.75,16372
15.833333333333334,16405
15.916666666666666,16431
16,16457
16.083333333333332,16476
16.166666666666668,16510
16.25,16537
16.333333333333332,16576
16.416666666666668,16595
16.5,16622
16.583333333333332,16643
16.666666666666668,16673
16.75,16692
16.833333333333332,16708
16.916666666666668,16724
17,16738
17.083333333333332,16762
17.166666666666668,16779
17.25,16800
17.333333333333332,16806
17.416666666666668,16821
17.5,16826
17.583333333333332,16838
17.666666666666668,16850
17.75,16868
17.833333333333332,16890
17.916666666666668,16893
18,16896
18.083333333333332,16925
18.166666666666668,16918
18.25,16936
18.333333333333332,16952
18.416666666666668,16965
18.5,16980
18.583333333333332,16986
18.666666666666668,17004
18.75,17013
