"Hours since thread went live","Mushoku Tensei: Isekai Ittara Honki Dasu Part 2 - Episode 10 discussion"
0,9
0,22
0.08333333333333333,78
0.16666666666666666,118
0.25,169
0.3333333333333333,218
0.4166666666666667,359
0.5,452
0.5833333333333334,573
0.6666666666666666,676
0.75,775
0.8333333333333334,876
0.9166666666666666,1006
1,1140
1.0833333333333333,1268
1.1666666666666667,1371
1.25,1485
1.3333333333333333,1595
1.4166666666666667,1700
1.5,1808
1.5833333333333333,1907
1.75,2073
1.8333333333333333,2178
1.9166666666666667,2292
2,2358
2.0833333333333335,2457
2.1666666666666665,2571
2.25,2671
2.3333333333333335,2777
2.4166666666666665,2850
2.5,2938
2.5833333333333335,3033
2.6666666666666665,3121
2.75,3176
2.8333333333333335,3262
2.9166666666666665,3314
3,3405
3.0833333333333335,3482
3.1666666666666665,3570
3.25,3638
3.3333333333333335,3697
3.4166666666666665,3764
3.5,3837
3.5833333333333335,3893
3.6666666666666665,3970
3.75,4034
3.8333333333333335,4124
3.9166666666666665,4183
4,4230
4.083333333333333,4293
4.166666666666667,4348
4.25,4409
4.333333333333333,4470
4.416666666666667,4531
4.5,4585
4.583333333333333,4643
4.666666666666667,4718
4.75,4781
4.833333333333333,4840
4.916666666666667,4900
5,4970
5.083333333333333,5026
5.166666666666667,5067
5.25,5123
5.333333333333333,5159
5.416666666666667,5222
5.5,5280
5.583333333333333,5326
5.666666666666667,5369
5.75,5429
5.833333333333333,5480
5.916666666666667,5521
6,5589
6.083333333333333,5643
6.166666666666667,5683
6.25,5724
6.333333333333333,5775
6.416666666666667,5805
6.5,5859
6.583333333333333,5913
6.666666666666667,5965
6.75,6017
6.833333333333333,6050
6.916666666666667,6099
7,6132
7.083333333333333,6178
7.166666666666667,6236
7.25,6264
7.333333333333333,6321
7.416666666666667,6357
7.5,6386
7.583333333333333,6417
7.666666666666667,6441
7.75,6476
7.833333333333333,6521
7.916666666666667,6559
8,6581
8.083333333333334,6603
8.166666666666666,6636
8.25,6671
8.333333333333334,6716
8.416666666666666,6754
8.5,6779
8.583333333333334,6817
8.666666666666666,6850
8.75,6874
8.833333333333334,6921
8.916666666666666,6951
9,6989
9.083333333333334,7026
9.166666666666666,7047
9.25,7094
9.333333333333334,7126
9.416666666666666,7158
9.5,7202
9.583333333333334,7228
9.666666666666666,7267
9.75,7307
9.833333333333334,7337
9.916666666666666,7362
10,7408
10.083333333333334,7435
10.166666666666666,7466
10.25,7509
10.333333333333334,7536
10.416666666666666,7567
10.5,7594
10.583333333333334,7631
10.666666666666666,7630
10.75,7676
10.833333333333334,7698
10.916666666666666,7734
11,7761
11.083333333333334,7795
11.166666666666666,7822
11.25,7843
11.333333333333334,7878
11.416666666666666,7896
11.5,7932
11.583333333333334,7954
11.666666666666666,7988
11.75,8007
11.833333333333334,8037
11.916666666666666,8053
12,8083
12.083333333333334,8112
12.166666666666666,8123
12.25,8156
12.333333333333334,8179
12.416666666666666,8189
12.5,8222
12.583333333333334,8234
12.666666666666666,8268
12.75,8292
12.833333333333334,8313
12.916666666666666,8347
13,8373
13.083333333333334,8401
13.166666666666666,8422
13.25,8454
13.333333333333334,8477
13.416666666666666,8495
13.5,8527
13.583333333333334,8556
13.666666666666666,8586
13.75,8614
13.833333333333334,8638
13.916666666666666,8668
14,8680
14.083333333333334,8706
14.166666666666666,8727
14.25,8742
14.333333333333334,8766
14.416666666666666,8785
14.5,8811
14.583333333333334,8836
14.666666666666666,8858
14.75,8874
14.833333333333334,8901
14.916666666666666,8912
15,8926
15.083333333333334,8952
15.166666666666666,8963
15.25,8982
15.333333333333334,8998
15.416666666666666,9017
15.5,9027
15.583333333333334,9052
15.666666666666666,9072
15.75,9092
15.833333333333334,9104
15.916666666666666,9117
16,9133
16.083333333333332,9153
16.166666666666668,9165
16.25,9181
16.333333333333332,9197
16.416666666666668,9211
16.5,9223
16.583333333333332,9236
16.666666666666668,9257
16.75,9274
16.833333333333332,9291
16.916666666666668,9290
17,9303
17.083333333333332,9326
17.166666666666668,9334
17.25,9351
17.333333333333332,9366
17.416666666666668,9373
17.5,9388
17.583333333333332,9395
17.666666666666668,9406
17.75,9415
17.833333333333332,9421
17.916666666666668,9433
18,9441
18.083333333333332,9456
18.166666666666668,9473
18.25,9481
18.333333333333332,9494
18.416666666666668,9510
18.5,9511
18.583333333333332,9522
18.666666666666668,9536
18.75,9548
18.833333333333332,9559
18.916666666666668,9563
19,9565
19.083333333333332,9574
19.166666666666668,9582
19.25,9590
19.333333333333332,9600
19.416666666666668,9610
19.5,9621
19.583333333333332,9625
19.666666666666668,9641
19.75,9646
19.833333333333332,9654
19.916666666666668,9667
20,9672
20.083333333333332,9676
20.166666666666668,9686
20.25,9698
20.333333333333332,9707
20.416666666666668,9719
20.5,9730
20.583333333333332,9740
20.666666666666668,9742
20.75,9750
20.833333333333332,9759
20.916666666666668,9771
21,9779
21.083333333333332,9784
21.166666666666668,9784
21.25,9798
21.333333333333332,9812
21.416666666666668,9816
21.5,9828
21.583333333333332,9835
21.666666666666668,9848
21.75,9850
21.833333333333332,9860
21.916666666666668,9875
22,9880
22.083333333333332,9897
22.166666666666668,9903
22.25,9916
22.333333333333332,9919
22.416666666666668,9939
22.5,9949
22.583333333333332,9948
22.666666666666668,9953
22.75,9967
22.833333333333332,9976
22.916666666666668,9984
23,10005
23.083333333333332,10017
23.166666666666668,10022
23.25,10026
23.333333333333332,10043
23.416666666666668,10045
23.5,10046
23.583333333333332,10063
23.666666666666668,10070
23.75,10076
23.833333333333332,10087
23.916666666666668,10090
24,10089
24.083333333333332,10097
24.166666666666668,10098
24.25,10105
24.333333333333332,10109
24.416666666666668,10110
24.5,10111
24.583333333333332,10126
24.666666666666668,10133
24.75,10142
24.833333333333332,10150
24.916666666666668,10149
25,10150
25.083333333333332,10157
25.166666666666668,10162
25.25,10165
25.333333333333332,10165
25.416666666666668,10172
25.5,10181
25.583333333333332,10180
25.666666666666668,10187
25.75,10187
25.833333333333332,10198
25.916666666666668,10196
26,10205
26.083333333333332,10217
26.166666666666668,10218
26.25,10229
26.333333333333332,10223
26.416666666666668,10236
26.5,10241
26.583333333333332,10245
26.666666666666668,10249
26.75,10255
26.833333333333332,10263
26.916666666666668,10265
27,10282
27.083333333333332,10276
27.166666666666668,10289
27.25,10287
27.333333333333332,10293
27.416666666666668,10305
27.5,10302
27.583333333333332,10300
27.666666666666668,10313
27.75,10314
27.833333333333332,10307
27.916666666666668,10315
28,10316
28.083333333333332,10327
28.166666666666668,10333
28.25,10338
28.333333333333332,10344
28.416666666666668,10348
28.5,10354
28.583333333333332,10360
28.666666666666668,10363
28.75,10371
28.833333333333332,10377
28.916666666666668,10379
29,10383
29.083333333333332,10386
29.166666666666668,10394
29.25,10390
29.333333333333332,10403
29.416666666666668,10398
29.5,10416
29.583333333333332,10410
29.666666666666668,10423
29.75,10421
29.833333333333332,10427
29.916666666666668,10422
30,10439
30.083333333333332,10432
30.166666666666668,10442
30.25,10436
30.333333333333332,10441
30.416666666666668,10439
30.5,10448
30.583333333333332,10453
30.666666666666668,10446
30.75,10453
30.833333333333332,10448
30.916666666666668,10459
31,10464
31.083333333333332,10464
31.166666666666668,10474
31.25,10472
31.333333333333332,10479
31.416666666666668,10480
31.5,10479
31.583333333333332,10480
31.666666666666668,10481
31.75,10490
31.833333333333332,10494
31.916666666666668,10500
32,10499
32.083333333333336,10505
32.166666666666664,10506
32.25,10512
32.333333333333336,10518
32.416666666666664,10519
32.5,10527
32.583333333333336,10524
32.666666666666664,10526
32.75,10531
32.833333333333336,10543
32.916666666666664,10532
33,10544
33.083333333333336,10537
33.166666666666664,10542
33.25,10551
33.333333333333336,10548
33.416666666666664,10554
33.5,10556
33.583333333333336,10555
33.666666666666664,10562
33.75,10560
33.833333333333336,10569
33.916666666666664,10563
34,10570
34.083333333333336,10564
34.166666666666664,10571
34.25,10576
34.333333333333336,10577
34.416666666666664,10589
34.5,10581
34.583333333333336,10583
34.666666666666664,10596
34.75,10595
34.833333333333336,10590
34.916666666666664,10600
35,10603
35.083333333333336,10605
35.166666666666664,10605
35.25,10610
35.333333333333336,10605
35.416666666666664,10609
35.5,10615
35.583333333333336,10626
35.666666666666664,10624
35.75,10625
35.833333333333336,10625
35.916666666666664,10632
36,10635
36.083333333333336,10635
36.166666666666664,10635
36.25,10640
36.333333333333336,10642
36.416666666666664,10641
36.5,10646
36.583333333333336,10644
36.666666666666664,10648
36.75,10651
36.833333333333336,10648
36.916666666666664,10652
37,10659
37.083333333333336,10661
37.166666666666664,10661
37.25,10658
37.333333333333336,10666
37.416666666666664,10664
37.5,10673
37.583333333333336,10664
37.666666666666664,10668
37.75,10671
37.833333333333336,10671
37.916666666666664,10675
38,10670
38.083333333333336,10679
38.166666666666664,10680
38.25,10687
38.333333333333336,10684
38.416666666666664,10688
38.5,10691
38.583333333333336,10691
38.666666666666664,10695
38.75,10689
38.833333333333336,10692
38.916666666666664,10700
39,10701
39.083333333333336,10691
39.166666666666664,10695
39.25,10695
39.333333333333336,10700
39.416666666666664,10696
39.5,10699
39.583333333333336,10701
39.666666666666664,10706
39.75,10709
39.833333333333336,10710
39.916666666666664,10716
40,10710
40.083333333333336,10718
40.166666666666664,10716
40.25,10712
40.333333333333336,10715
40.416666666666664,10710
40.5,10722
40.583333333333336,10722
40.666666666666664,10717
40.75,10719
40.833333333333336,10723
40.916666666666664,10732
41,10728
41.083333333333336,10739
41.166666666666664,10737
41.25,10739
41.333333333333336,10736
41.416666666666664,10744
41.5,10751
41.583333333333336,10745
41.666666666666664,10739
41.75,10745
41.833333333333336,10748
41.916666666666664,10745
42,10744
42.083333333333336,10752
42.166666666666664,10759
42.25,10757
42.333333333333336,10752
42.416666666666664,10750
42.5,10755
42.583333333333336,10754
42.666666666666664,10765
42.75,10759
42.833333333333336,10766
42.916666666666664,10763
43,10768
43.083333333333336,10767
43.166666666666664,10764
43.25,10761
43.333333333333336,10761
43.416666666666664,10763
43.5,10772
43.583333333333336,10763
43.666666666666664,10766
43.75,10767
43.833333333333336,10780
43.916666666666664,10772
44,10776
44.083333333333336,10775
44.166666666666664,10776
44.25,10786
44.333333333333336,10780
44.416666666666664,10782
44.5,10777
44.583333333333336,10780
44.666666666666664,10780
44.75,10782
44.833333333333336,10777
44.916666666666664,10788
45,10784
45.083333333333336,10794
45.166666666666664,10793
45.25,10795
45.333333333333336,10794
45.416666666666664,10796
45.5,10790
45.583333333333336,10796
45.666666666666664,10803
45.75,10791
45.833333333333336,10804
45.916666666666664,10802
46,10807
46.083333333333336,10804
46.166666666666664,10803
46.25,10810
46.333333333333336,10807
46.416666666666664,10808
46.5,10815
46.583333333333336,10806
46.666666666666664,10815
46.75,10812
46.833333333333336,10824
46.916666666666664,10821
47,10815
47.083333333333336,10815
47.166666666666664,10820
47.25,10825
47.333333333333336,10821
47.416666666666664,10822
47.5,10822
47.583333333333336,10823
47.666666666666664,10830
47.75,10829
47.833333333333336,10835
47.916666666666664,10830
