"Hours since thread went live","Shingeki no Kyojin: The Final Season Part 2 - Episode 77 discussion"
0,14
0,33
0.08333333333333333,146
0.16666666666666666,297
0.25,443
0.3333333333333333,645
0.4166666666666667,832
0.5,1025
0.5833333333333334,1188
0.6666666666666666,1325
0.75,1522
0.8333333333333334,1679
0.9166666666666666,1829
1,1953
1.0833333333333333,2091
1.1666666666666667,2233
1.25,2357
1.3333333333333333,2499
1.4166666666666667,2623
1.5,2740
1.5833333333333333,2883
1.6666666666666667,2995
1.75,3119
1.8333333333333333,3196
1.9166666666666667,3286
2,3365
2.0833333333333335,3480
2.1666666666666665,3572
2.25,3672
2.3333333333333335,3759
2.4166666666666665,3843
2.5,3918
2.5833333333333335,4000
2.6666666666666665,4085
2.75,4185
2.8333333333333335,4263
2.9166666666666665,4343
3,4402
3.0833333333333335,4467
3.1666666666666665,4551
3.25,4616
3.3333333333333335,4687
3.4166666666666665,4766
3.5,4830
3.5833333333333335,4899
3.6666666666666665,4969
3.75,5029
3.8333333333333335,5084
3.9166666666666665,5146
4,5201
4.083333333333333,5262
4.166666666666667,5318
4.25,5392
4.333333333333333,5433
4.416666666666667,5491
4.5,5552
4.583333333333333,5611
4.666666666666667,5659
4.75,5705
4.833333333333333,5754
4.916666666666667,5818
5,5867
5.083333333333333,5916
5.166666666666667,5975
5.25,6029
5.333333333333333,6065
5.416666666666667,6129
5.5,6177
5.583333333333333,6212
5.666666666666667,6265
5.75,6305
5.833333333333333,6357
5.916666666666667,6404
6,6434
6.083333333333333,6485
6.166666666666667,6530
6.25,6569
6.333333333333333,6622
6.416666666666667,6659
6.5,6710
6.583333333333333,6742
6.666666666666667,6793
6.75,6831
6.833333333333333,6871
6.916666666666667,6916
7,6956
7.083333333333333,6987
7.166666666666667,7033
7.25,7086
7.333333333333333,7140
7.416666666666667,7187
7.5,7221
7.583333333333333,7256
7.666666666666667,7307
7.75,7350
7.833333333333333,7389
7.916666666666667,7431
8,7462
8.083333333333334,7505
8.166666666666666,7538
8.25,7569
8.333333333333334,7604
8.416666666666666,7649
8.5,7683
8.583333333333334,7734
8.666666666666666,7761
8.75,7800
8.833333333333334,7840
8.916666666666666,7865
9,7896
9.083333333333334,7924
9.166666666666666,7956
9.25,7985
9.333333333333334,8027
9.416666666666666,8049
9.5,8079
9.583333333333334,8098
9.666666666666666,8144
9.75,8178
9.833333333333334,8204
9.916666666666666,8234
10,8277
10.083333333333334,8313
10.166666666666666,8333
10.25,8368
10.333333333333334,8390
10.416666666666666,8406
10.5,8430
10.583333333333334,8452
10.666666666666666,8464
10.75,8495
10.833333333333334,8535
10.916666666666666,8549
11,8590
11.083333333333334,8619
11.166666666666666,8641
11.25,8675
11.333333333333334,8703
11.416666666666666,8717
11.5,8734
11.583333333333334,8762
11.666666666666666,8775
11.75,8795
11.833333333333334,8814
11.916666666666666,8828
12,8846
12.083333333333334,8856
12.166666666666666,8884
12.25,8892
12.333333333333334,8921
12.416666666666666,8934
12.5,8947
12.583333333333334,8973
12.666666666666666,8995
12.75,9007
12.833333333333334,9037
12.916666666666666,9061
13,9069
13.083333333333334,9093
13.166666666666666,9107
13.25,9128
13.333333333333334,9144
13.416666666666666,9152
13.5,9168
13.583333333333334,9187
13.666666666666666,9201
13.75,9205
13.833333333333334,9216
13.916666666666666,9237
14,9255
14.083333333333334,9269
14.166666666666666,9281
14.25,9289
14.333333333333334,9299
14.416666666666666,9316
14.5,9334
14.583333333333334,9336
14.666666666666666,9336
14.75,9351
14.833333333333334,9365
14.916666666666666,9379
15,9380
15.083333333333334,9396
15.166666666666666,9409
15.25,9434
15.333333333333334,9444
15.416666666666666,9456
15.5,9465
15.583333333333334,9487
15.666666666666666,9495
15.75,9504
15.833333333333334,9530
15.916666666666666,9541
16,9548
16.083333333333332,9557
16.166666666666668,9580
16.25,9570
16.333333333333332,9591
16.416666666666668,9597
16.5,9617
16.583333333333332,9618
16.666666666666668,9637
16.75,9640
16.833333333333332,9664
16.916666666666668,9669
17,9673
17.083333333333332,9695
17.166666666666668,9702
17.25,9709
17.333333333333332,9716
17.416666666666668,9732
17.5,9735
17.583333333333332,9752
17.666666666666668,9767
17.75,9776
17.833333333333332,9783
17.916666666666668,9791
18,9811
18.083333333333332,9826
18.166666666666668,9847
18.25,9858
18.333333333333332,9857
18.416666666666668,9872
18.5,9880
18.583333333333332,9901
18.666666666666668,9910
18.75,9928
18.833333333333332,9935
18.916666666666668,9953
19,9964
19.083333333333332,9974
19.166666666666668,9991
19.25,10004
19.333333333333332,10009
19.416666666666668,10033
19.5,10036
19.583333333333332,10061
19.666666666666668,10072
19.75,10083
19.833333333333332,10089
19.916666666666668,10099
20,10128
20.083333333333332,10144
20.166666666666668,10145
20.25,10156
20.333333333333332,10169
20.416666666666668,10168
20.5,10190
20.583333333333332,10193
20.666666666666668,10202
20.75,10210
20.833333333333332,10239
20.916666666666668,10246
21,10256
21.083333333333332,10276
21.166666666666668,10279
21.25,10290
21.333333333333332,10306
