"Hours since thread went live","Shingeki no Kyojin: The Final Season Part 2 - Episode 87 discussion"
0,20
0.08333333333333333,100
0.16666666666666666,203
0.25,309
0.3333333333333333,408
0.4166666666666667,529
0.5,670
0.5833333333333334,831
0.6666666666666666,1010
0.75,1147
0.8333333333333334,1290
0.9166666666666666,1412
1,1534
1.0833333333333333,1654
1.1666666666666667,1785
1.25,1903
1.3333333333333333,2024
1.4166666666666667,2123
1.5,2232
1.5833333333333333,2326
1.6666666666666667,2407
1.75,2514
1.8333333333333333,2594
1.9166666666666667,2663
2,2756
2.0833333333333335,2832
2.1666666666666665,2921
2.25,2999
2.3333333333333335,3091
2.4166666666666665,3149
2.5,3221
2.5833333333333335,3280
2.6666666666666665,3372
2.75,3466
2.8333333333333335,3519
2.9166666666666665,3574
3,3659
3.0833333333333335,3717
3.1666666666666665,3781
3.25,3833
3.3333333333333335,3911
3.4166666666666665,3964
3.5,4027
3.5833333333333335,4088
3.6666666666666665,4137
3.75,4194
3.8333333333333335,4245
3.9166666666666665,4302
4,4338
4.083333333333333,4422
4.166666666666667,4482
4.25,4535
4.333333333333333,4589
4.416666666666667,4640
4.5,4700
4.583333333333333,4740
4.666666666666667,4790
4.75,4832
4.833333333333333,4882
4.916666666666667,4934
5,4990
5.083333333333333,5035
5.166666666666667,5069
5.25,5122
5.333333333333333,5172
5.416666666666667,5218
5.5,5253
5.583333333333333,5306
5.666666666666667,5349
5.75,5388
5.833333333333333,5439
5.916666666666667,5464
6,5514
6.083333333333333,5561
6.166666666666667,5605
6.25,5643
6.333333333333333,5678
6.416666666666667,5729
6.5,5772
6.583333333333333,5809
6.666666666666667,5832
6.75,5874
6.833333333333333,5916
6.916666666666667,5946
7,5984
7.083333333333333,6031
7.166666666666667,6058
7.25,6105
7.333333333333333,6151
7.416666666666667,6197
7.5,6235
7.583333333333333,6279
7.666666666666667,6323
7.75,6372
7.833333333333333,6399
7.916666666666667,6447
8,6473
8.083333333333334,6497
8.166666666666666,6530
8.25,6556
8.333333333333334,6589
8.416666666666666,6623
8.5,6659
8.583333333333334,6688
8.666666666666666,6725
8.75,6753
8.833333333333334,6780
8.916666666666666,6817
9,6862
9.083333333333334,6882
9.166666666666666,6914
9.25,6943
9.333333333333334,6974
9.416666666666666,7013
9.5,7034
9.583333333333334,7061
9.666666666666666,7099
9.75,7132
9.833333333333334,7147
9.916666666666666,7178
10,7197
10.083333333333334,7233
10.166666666666666,7256
10.25,7280
10.333333333333334,7303
10.416666666666666,7330
10.5,7371
10.583333333333334,7392
10.666666666666666,7411
10.75,7428
10.833333333333334,7460
10.916666666666666,7469
11,7487
11.083333333333334,7512
11.166666666666666,7535
11.25,7559
11.333333333333334,7586
11.416666666666666,7601
11.5,7627
11.583333333333334,7643
11.666666666666666,7666
11.75,7681
11.833333333333334,7693
11.916666666666666,7720
12,7738
12.083333333333334,7751
12.166666666666666,7769
12.25,7785
12.333333333333334,7803
12.416666666666666,7818
12.5,7842
12.583333333333334,7861
12.666666666666666,7877
12.75,7898
12.833333333333334,7920
12.916666666666666,7932
13,7957
13.083333333333334,7972
13.166666666666666,7988
13.25,7996
13.333333333333334,8022
13.416666666666666,8043
13.5,8043
13.583333333333334,8070
13.666666666666666,8079
13.75,8087
13.833333333333334,8106
13.916666666666666,8116
14,8140
14.083333333333334,8154
14.166666666666666,8167
14.25,8190
14.333333333333334,8206
14.416666666666666,8236
14.5,8247
14.583333333333334,8255
14.666666666666666,8273
14.75,8300
14.833333333333334,8315
14.916666666666666,8330
15,8349
15.083333333333334,8355
15.166666666666666,8373
15.25,8393
15.333333333333334,8418
15.416666666666666,8431
15.5,8452
15.583333333333334,8473
15.666666666666666,8497
15.75,8520
15.833333333333334,8540
15.916666666666666,8561
16,8580
16.083333333333332,8596
16.166666666666668,8628
16.25,8637
16.333333333333332,8653
16.416666666666668,8668
16.5,8687
16.583333333333332,8698
16.666666666666668,8714
16.75,8730
16.833333333333332,8738
16.916666666666668,8749
17,8761
17.083333333333332,8779
17.166666666666668,8803
17.25,8816
17.333333333333332,8821
17.416666666666668,8838
17.5,8845
17.583333333333332,8852
17.666666666666668,8871
17.75,8884
17.833333333333332,8893
17.916666666666668,8906
18,8917
18.083333333333332,8934
18.166666666666668,8947
18.25,8957
18.333333333333332,8975
18.416666666666668,8981
18.5,8995
18.583333333333332,9007
18.666666666666668,9027
18.75,9047
18.833333333333332,9055
18.916666666666668,9059
19,9075
19.083333333333332,9094
19.166666666666668,9101
19.25,9120
19.333333333333332,9130
19.416666666666668,9132
19.5,9134
19.583333333333332,9155
19.666666666666668,9160
19.75,9160
19.833333333333332,9164
19.916666666666668,9188
20,9192
20.083333333333332,9204
20.166666666666668,9218
20.25,9224
20.333333333333332,9237
20.416666666666668,9250
20.5,9251
20.583333333333332,9263
20.666666666666668,9268
20.75,9287
20.833333333333332,9299
20.916666666666668,9298
21,9304
21.083333333333332,9319
21.166666666666668,9323
21.25,9328
21.333333333333332,9330
21.416666666666668,9339
21.5,9351
21.583333333333332,9359
21.666666666666668,9367
21.75,9370
21.833333333333332,9388
21.916666666666668,9396
22,9400
22.083333333333332,9407
22.166666666666668,9415
22.25,9426
22.333333333333332,9437
22.416666666666668,9441
22.5,9443
22.583333333333332,9452
22.666666666666668,9457
22.75,9470
22.833333333333332,9478
22.916666666666668,9486
23,9488
23.083333333333332,9502
23.166666666666668,9510
23.25,9520
23.333333333333332,9526
23.416666666666668,9533
23.5,9528
23.583333333333332,9541
23.666666666666668,9544
23.75,9559
23.833333333333332,9556
23.916666666666668,9571
24,9587
24.083333333333332,9595
24.166666666666668,9597
24.25,9604
24.333333333333332,9614
24.416666666666668,9614
24.5,9620
24.583333333333332,9625
24.666666666666668,9624
24.75,9633
24.833333333333332,9634
24.916666666666668,9634
25,9643
25.083333333333332,9650
25.166666666666668,9650
25.25,9658
25.333333333333332,9658
25.416666666666668,9668
25.5,9666
25.583333333333332,9672
25.666666666666668,9673
25.75,9671
25.833333333333332,9674
25.916666666666668,9684
26,9686
26.083333333333332,9697
26.166666666666668,9699
26.25,9705
26.333333333333332,9706
26.416666666666668,9721
26.5,9721
26.583333333333332,9726
26.666666666666668,9732
26.75,9729
26.833333333333332,9740
26.916666666666668,9740
27,9748
27.083333333333332,9744
27.166666666666668,9752
27.25,9756
27.333333333333332,9756
27.416666666666668,9761
27.5,9763
27.583333333333332,9764
27.666666666666668,9765
27.75,9772
27.833333333333332,9771
27.916666666666668,9783
28,9776
28.083333333333332,9785
28.166666666666668,9795
28.25,9792
28.333333333333332,9798
28.416666666666668,9793
28.5,9807
28.583333333333332,9809
28.666666666666668,9809
28.75,9818
28.833333333333332,9825
28.916666666666668,9814
29,9823
29.083333333333332,9819
29.166666666666668,9818
29.25,9828
29.333333333333332,9834
29.416666666666668,9835
29.5,9842
29.583333333333332,9848
29.666666666666668,9848
29.75,9856
29.833333333333332,9850
29.916666666666668,9861
30,9858
30.083333333333332,9863
30.166666666666668,9867
30.25,9866
30.333333333333332,9871
30.416666666666668,9868
30.5,9873
30.583333333333332,9881
30.666666666666668,9876
30.75,9874
30.833333333333332,9882
30.916666666666668,9882
31,9887
31.083333333333332,9901
31.166666666666668,9907
31.25,9908
31.333333333333332,9911
31.416666666666668,9920
31.5,9919
31.583333333333332,9924
31.666666666666668,9927
31.75,9926
31.833333333333332,9931
31.916666666666668,9935
32,9932
32.083333333333336,9938
32.166666666666664,9940
32.25,9949
32.333333333333336,9950
32.416666666666664,9956
32.5,9952
32.583333333333336,9956
32.666666666666664,9960
32.75,9959
32.833333333333336,9970
32.916666666666664,9968
33,9970
33.083333333333336,9974
33.166666666666664,9968
33.25,9976
33.333333333333336,9987
33.416666666666664,9990
33.5,9984
33.583333333333336,9991
33.666666666666664,9993
33.75,9986
33.833333333333336,9992
33.916666666666664,10001
34,9999
34.083333333333336,10001
34.166666666666664,10010
34.25,9999
34.333333333333336,10013
34.416666666666664,10012
34.5,10013
34.583333333333336,10015
34.666666666666664,10016
34.75,10021
34.833333333333336,10024
34.916666666666664,10023
35,10021
35.083333333333336,10026
35.166666666666664,10023
35.25,10029
35.333333333333336,10026
35.416666666666664,10033
35.5,10036
35.583333333333336,10037
35.666666666666664,10038
35.75,10038
35.833333333333336,10038
35.916666666666664,10034
36,10037
36.083333333333336,10040
36.166666666666664,10043
36.25,10033
36.333333333333336,10048
36.416666666666664,10048
36.5,10045
36.583333333333336,10047
36.666666666666664,10054
36.75,10051
36.833333333333336,10050
36.916666666666664,10052
37,10057
37.083333333333336,10060
37.166666666666664,10057
37.25,10062
37.333333333333336,10058
37.416666666666664,10056
37.5,10062
37.583333333333336,10065
37.666666666666664,10058
37.75,10066
37.833333333333336,10057
37.916666666666664,10069
38,10073
38.083333333333336,10069
38.166666666666664,10062
38.25,10068
38.333333333333336,10070
38.416666666666664,10075
38.5,10073
38.583333333333336,10078
38.666666666666664,10079
38.75,10078
38.833333333333336,10081
38.916666666666664,10087
39,10095
39.083333333333336,10090
39.166666666666664,10093
39.25,10094
39.333333333333336,10096
39.416666666666664,10099
39.5,10100
39.583333333333336,10107
39.666666666666664,10108
39.75,10104
39.833333333333336,10099
39.916666666666664,10107
40,10102
40.083333333333336,10109
40.166666666666664,10109
40.25,10109
40.333333333333336,10103
40.416666666666664,10104
40.5,10109
40.583333333333336,10114
40.666666666666664,10112
40.75,10111
40.833333333333336,10114
40.916666666666664,10124
41,10113
41.083333333333336,10121
41.166666666666664,10120
41.25,10112
41.333333333333336,10120
41.416666666666664,10124
41.5,10123
41.583333333333336,10122
41.666666666666664,10126
41.75,10122
41.833333333333336,10125
41.916666666666664,10129
42,10134
42.083333333333336,10135
42.166666666666664,10133
42.25,10143
42.333333333333336,10136
42.416666666666664,10132
42.5,10140
42.583333333333336,10138
42.666666666666664,10143
42.75,10147
42.833333333333336,10143
42.916666666666664,10138
43,10141
43.083333333333336,10148
43.166666666666664,10149
43.25,10146
43.333333333333336,10150
43.416666666666664,10156
43.5,10151
43.583333333333336,10156
43.666666666666664,10149
43.75,10149
43.833333333333336,10157
43.916666666666664,10159
44,10158
44.083333333333336,10163
44.166666666666664,10160
44.25,10169
44.333333333333336,10167
44.416666666666664,10164
44.5,10173
44.583333333333336,10177
44.666666666666664,10166
44.75,10171
44.833333333333336,10177
44.916666666666664,10172
45,10176
45.083333333333336,10175
45.166666666666664,10184
45.25,10188
45.333333333333336,10180
45.416666666666664,10182
45.5,10193
45.583333333333336,10181
45.666666666666664,10188
45.75,10188
45.833333333333336,10187
45.916666666666664,10190
46,10192
46.083333333333336,10192
46.166666666666664,10189
46.25,10193
46.333333333333336,10191
46.416666666666664,10199
46.5,10199
46.583333333333336,10196
46.666666666666664,10194
46.75,10197
46.833333333333336,10200
46.916666666666664,10208
47,10204
47.083333333333336,10210
47.166666666666664,10218
47.25,10219
47.333333333333336,10214
47.416666666666664,10220
47.5,10211
47.583333333333336,10218
47.666666666666664,10216
47.75,10223
47.833333333333336,10225
47.916666666666664,10232
