"Hours since thread went live","Chainsaw Man - Episode 2 discussion"
0,37
0.08333333333333333,105
0.16666666666666666,165
0.25,248
0.3333333333333333,335
0.4166666666666667,457
0.5,609
0.5833333333333334,838
0.6666666666666666,1029
0.75,1206
0.8333333333333334,1394
0.9166666666666666,1551
1,1733
1.0833333333333333,1891
1.1666666666666667,2039
1.25,2205
1.3333333333333333,2353
1.4166666666666667,2538
1.5,2665
1.5833333333333333,2803
1.6666666666666667,2944
1.75,3097
1.8333333333333333,3213
1.9166666666666667,3349
2,3461
2.0833333333333335,3586
2.1666666666666665,3713
2.25,3813
2.3333333333333335,3919
2.4166666666666665,4018
2.5,4141
2.5833333333333335,4265
2.6666666666666665,4383
2.75,4481
2.8333333333333335,4580
2.9166666666666665,4679
3,4771
3.0833333333333335,4884
3.1666666666666665,4966
3.25,5049
3.3333333333333335,5121
3.4166666666666665,5199
3.5,5289
3.5833333333333335,5372
3.6666666666666665,5460
3.75,5568
3.8333333333333335,5644
3.9166666666666665,5730
4,5795
4.083333333333333,5884
4.166666666666667,5974
4.25,6056
4.333333333333333,6129
4.416666666666667,6215
4.5,6288
4.583333333333333,6347
4.666666666666667,6420
4.75,6495
4.833333333333333,6563
4.916666666666667,6636
5,6711
5.083333333333333,6763
5.166666666666667,6835
5.25,6893
5.333333333333333,6967
5.416666666666667,7040
5.5,7112
5.583333333333333,7174
5.666666666666667,7215
5.75,7279
5.833333333333333,7321
5.916666666666667,7378
6,7438
6.083333333333333,7500
6.166666666666667,7555
6.25,7622
6.333333333333333,7673
6.416666666666667,7734
6.5,7788
6.583333333333333,7833
6.666666666666667,7894
6.75,7954
6.833333333333333,8005
6.916666666666667,8042
7,8071
7.083333333333333,8121
7.166666666666667,8178
7.25,8211
7.416666666666667,8300
7.5,8343
7.583333333333333,8386
7.666666666666667,8432
7.75,8487
7.916666666666667,8600
8,8646
8.083333333333334,8696
8.166666666666666,8728
8.25,8774
8.333333333333334,8819
8.416666666666666,8850
8.5,8897
8.583333333333334,8937
8.666666666666666,8985
8.75,9058
8.833333333333334,9103
8.916666666666666,9141
9,9175
9.083333333333334,9220
9.166666666666666,9258
9.25,9287
9.333333333333334,9323
9.416666666666666,9362
9.5,9401
9.583333333333334,9426
9.666666666666666,9479
9.75,9506
9.833333333333334,9543
9.916666666666666,9583
10,9620
10.083333333333334,9641
10.166666666666666,9693
10.25,9733
10.333333333333334,9770
10.416666666666666,9813
10.5,9846
10.583333333333334,9875
10.666666666666666,9914
10.75,9954
10.833333333333334,9997
10.916666666666666,10024
11,10059
11.083333333333334,10091
11.166666666666666,10118
11.25,10160
11.333333333333334,10177
11.416666666666666,10230
11.5,10257
11.583333333333334,10296
11.666666666666666,10327
11.75,10361
11.833333333333334,10395
11.916666666666666,10431
12,10461
12.083333333333334,10502
12.166666666666666,10535
12.25,10563
12.333333333333334,10609
12.416666666666666,10635
12.5,10677
12.583333333333334,10706
12.666666666666666,10741
12.75,10769
12.833333333333334,10806
12.916666666666666,10841
13,10859
13.083333333333334,10891
13.166666666666666,10916
13.25,10955
13.333333333333334,10980
13.416666666666666,11011
13.5,11036
13.583333333333334,11057
13.666666666666666,11095
13.75,11129
13.833333333333334,11160
13.916666666666666,11176
14,11209
14.083333333333334,11245
14.166666666666666,11268
14.25,11286
14.333333333333334,11310
14.416666666666666,11327
14.5,11351
14.583333333333334,11378
14.666666666666666,11399
14.75,11414
14.833333333333334,11424
14.916666666666666,11448
15,11474
15.083333333333334,11483
15.166666666666666,11511
15.25,11538
15.333333333333334,11562
15.416666666666666,11575
15.5,11597
15.583333333333334,11614
15.666666666666666,11640
15.75,11665
15.833333333333334,11678
15.916666666666666,11690
16,11712
16.083333333333332,11738
16.166666666666668,11756
16.25,11781
16.333333333333332,11790
16.416666666666668,11799
16.5,11831
16.583333333333332,11852
16.666666666666668,11874
16.75,11887
16.833333333333332,11905
16.916666666666668,11913
