"Hours since thread went live","Chainsaw Man - Episode 5 discussion"
0,1
0,9
0.08333333333333333,53
0.16666666666666666,99
0.25,154
0.3333333333333333,187
0.4166666666666667,239
0.5,293
0.5833333333333334,355
0.6666666666666666,421
0.75,480
0.8333333333333334,531
0.9166666666666666,589
1,641
1.0833333333333333,702
1.1666666666666667,765
1.25,828
1.3333333333333333,900
1.4166666666666667,998
1.5,1137
1.5833333333333333,1290
1.6666666666666667,1394
1.75,1523
1.8333333333333333,1646
1.9166666666666667,1757
2,1880
2.0833333333333335,1973
2.1666666666666665,2063
2.25,2170
2.3333333333333335,2265
2.4166666666666665,2366
2.5,2465
2.5833333333333335,2538
2.6666666666666665,2610
2.75,2698
2.8333333333333335,2790
2.9166666666666665,2866
3,2943
3.0833333333333335,3020
3.1666666666666665,3096
3.25,3160
3.3333333333333335,3241
3.4166666666666665,3317
3.5,3400
3.5833333333333335,3467
3.6666666666666665,3519
3.75,3598
3.8333333333333335,3652
3.9166666666666665,3718
4,3772
4.083333333333333,3838
4.166666666666667,3893
4.25,3963
4.333333333333333,4033
4.416666666666667,4097
4.5,4154
4.583333333333333,4222
4.666666666666667,4280
4.75,4329
4.833333333333333,4391
4.916666666666667,4449
5,4506
5.083333333333333,4564
5.166666666666667,4611
5.25,4666
5.333333333333333,4721
5.416666666666667,4774
5.5,4827
5.583333333333333,4879
5.666666666666667,4922
5.75,4988
5.833333333333333,5038
5.916666666666667,5079
6,5145
6.083333333333333,5209
6.166666666666667,5258
6.25,5310
6.333333333333333,5365
6.416666666666667,5423
6.5,5468
6.583333333333333,5513
6.666666666666667,5554
6.75,5615
6.833333333333333,5666
6.916666666666667,5727
7,5748
7.083333333333333,5794
7.166666666666667,5850
7.25,5909
7.333333333333333,5949
7.416666666666667,5985
7.5,6025
7.583333333333333,6064
7.666666666666667,6110
7.75,6146
7.833333333333333,6177
7.916666666666667,6218
8,6260
8.083333333333334,6304
8.166666666666666,6334
8.25,6374
8.333333333333334,6412
8.416666666666666,6450
8.5,6494
8.583333333333334,6548
8.666666666666666,6577
8.75,6622
8.833333333333334,6662
8.916666666666666,6690
9,6743
9.083333333333334,6772
9.166666666666666,6792
9.25,6829
9.333333333333334,6847
9.416666666666666,6887
9.5,6927
9.583333333333334,6963
9.666666666666666,6994
9.75,7026
9.833333333333334,7055
9.916666666666666,7094
10,7121
10.083333333333334,7150
10.166666666666666,7186
10.25,7226
10.333333333333334,7257
10.416666666666666,7289
10.5,7322
10.583333333333334,7340
10.666666666666666,7363
10.75,7403
10.833333333333334,7435
10.916666666666666,7461
11,7487
11.083333333333334,7513
11.166666666666666,7539
11.25,7566
11.333333333333334,7590
11.416666666666666,7623
11.5,7647
11.583333333333334,7685
11.666666666666666,7696
11.75,7741
11.833333333333334,7759
11.916666666666666,7789
12,7823
12.083333333333334,7851
12.166666666666666,7883
12.25,7896
12.333333333333334,7931
12.416666666666666,7961
12.5,7989
12.583333333333334,8018
12.666666666666666,8032
12.75,8052
12.833333333333334,8066
12.916666666666666,8098
13,8122
13.083333333333334,8143
13.166666666666666,8170
13.25,8201
13.333333333333334,8212
13.416666666666666,8217
13.5,8258
13.583333333333334,8272
13.666666666666666,8285
13.75,8302
13.833333333333334,8333
13.916666666666666,8356
14,8370
14.083333333333334,8389
14.166666666666666,8406
14.25,8434
14.333333333333334,8437
14.416666666666666,8462
14.5,8480
14.583333333333334,8496
14.666666666666666,8515
14.75,8544
14.833333333333334,8567
14.916666666666666,8570
15,8588
15.083333333333334,8604
15.166666666666666,8634
15.25,8646
15.333333333333334,8656
15.416666666666666,8671
15.5,8681
15.583333333333334,8699
15.666666666666666,8719
15.75,8733
15.833333333333334,8744
15.916666666666666,8752
16,8775
16.083333333333332,8785
16.166666666666668,8805
16.25,8815
16.333333333333332,8833
16.416666666666668,8843
16.5,8854
16.583333333333332,8863
16.666666666666668,8874
16.75,8894
16.833333333333332,8913
16.916666666666668,8918
17,8939
17.083333333333332,8957
17.166666666666668,8966
17.25,8987
17.333333333333332,8996
17.416666666666668,9009
17.5,9028
17.583333333333332,9050
17.666666666666668,9064
17.75,9074
17.833333333333332,9090
17.916666666666668,9099
18,9121
18.083333333333332,9134
18.166666666666668,9148
18.25,9169
18.333333333333332,9171
18.416666666666668,9185
18.5,9189
18.583333333333332,9209
18.666666666666668,9210
18.75,9230
18.833333333333332,9240
18.916666666666668,9252
19,9263
19.083333333333332,9270
19.166666666666668,9284
19.25,9290
19.333333333333332,9290
19.416666666666668,9308
19.5,9327
19.583333333333332,9323
19.666666666666668,9337
19.75,9342
19.833333333333332,9356
19.916666666666668,9359
20,9372
20.083333333333332,9387
20.166666666666668,9385
20.25,9401
20.333333333333332,9419
20.416666666666668,9431
20.5,9435
20.583333333333332,9448
20.666666666666668,9455
20.75,9461
20.833333333333332,9467
20.916666666666668,9477
21,9499
21.083333333333332,9498
21.166666666666668,9513
21.25,9532
21.333333333333332,9538
21.416666666666668,9552
21.5,9562
21.583333333333332,9567
21.666666666666668,9573
21.75,9574
21.833333333333332,9598
21.916666666666668,9601
22,9608
22.083333333333332,9615
22.166666666666668,9617
22.25,9633
22.333333333333332,9630
22.416666666666668,9645
22.5,9648
22.583333333333332,9653
22.666666666666668,9662
22.75,9672
22.833333333333332,9672
22.916666666666668,9682
23,9692
23.083333333333332,9694
23.166666666666668,9711
23.25,9710
23.333333333333332,9718
23.416666666666668,9737
23.5,9738
23.583333333333332,9757
23.666666666666668,9758
23.75,9755
23.833333333333332,9775
23.916666666666668,9772
24,9780
24.083333333333332,9796
24.166666666666668,9803
24.25,9807
24.333333333333332,9807
24.416666666666668,9810
24.5,9826
24.583333333333332,9837
24.666666666666668,9840
24.75,9851
24.833333333333332,9852
24.916666666666668,9856
25,9865
25.083333333333332,9870
25.166666666666668,9881
25.25,9886
25.333333333333332,9886
25.416666666666668,9893
25.5,9903
25.583333333333332,9914
25.666666666666668,9924
25.75,9931
25.833333333333332,9935
25.916666666666668,9934
26,9930
26.083333333333332,9938
26.166666666666668,9942
26.25,9956
26.333333333333332,9965
26.416666666666668,9967
26.5,9970
26.583333333333332,9971
26.666666666666668,9979
26.75,9983
26.833333333333332,9987
26.916666666666668,9989
27,10001
27.083333333333332,10009
27.166666666666668,10013
27.25,10011
27.333333333333332,10016
27.416666666666668,10021
27.5,10035
27.583333333333332,10034
27.666666666666668,10042
27.75,10050
27.833333333333332,10054
27.916666666666668,10062
28,10061
28.083333333333332,10062
28.166666666666668,10066
28.25,10072
28.333333333333332,10071
28.416666666666668,10081
28.5,10090
28.583333333333332,10093
28.666666666666668,10101
28.75,10100
28.833333333333332,10105
28.916666666666668,10106
29,10110
29.083333333333332,10112
29.166666666666668,10116
29.25,10115
29.333333333333332,10120
29.416666666666668,10135
29.5,10137
29.583333333333332,10136
29.666666666666668,10138
29.75,10152
29.833333333333332,10149
29.916666666666668,10154
30,10150
30.083333333333332,10152
30.166666666666668,10163
30.25,10176
30.333333333333332,10184
30.416666666666668,10183
30.5,10187
30.583333333333332,10188
30.666666666666668,10194
30.75,10197
30.833333333333332,10200
30.916666666666668,10198
31,10205
31.083333333333332,10212
31.166666666666668,10217
31.25,10219
31.333333333333332,10218
31.416666666666668,10223
31.5,10228
31.583333333333332,10239
31.666666666666668,10236
31.75,10235
31.833333333333332,10243
31.916666666666668,10251
32,10243
32.083333333333336,10252
32.166666666666664,10256
32.25,10258
32.333333333333336,10263
32.416666666666664,10261
32.5,10262
32.583333333333336,10268
32.666666666666664,10275
32.75,10277
32.833333333333336,10277
32.916666666666664,10279
33,10283
33.083333333333336,10280
33.166666666666664,10289
33.25,10294
33.333333333333336,10290
33.416666666666664,10295
33.5,10308
33.583333333333336,10307
33.666666666666664,10309
33.75,10309
33.833333333333336,10327
33.916666666666664,10323
34,10324
34.083333333333336,10326
34.166666666666664,10337
34.25,10337
34.333333333333336,10336
34.416666666666664,10335
34.5,10339
34.583333333333336,10341
34.666666666666664,10345
34.75,10346
34.833333333333336,10350
34.916666666666664,10355
35,10350
35.083333333333336,10363
35.166666666666664,10359
35.25,10361
35.333333333333336,10360
35.416666666666664,10369
35.5,10371
35.583333333333336,10368
35.666666666666664,10378
35.75,10383
35.833333333333336,10379
35.916666666666664,10378
36,10384
36.083333333333336,10394
36.166666666666664,10393
36.25,10397
36.333333333333336,10401
36.416666666666664,10398
36.5,10411
36.583333333333336,10413
36.666666666666664,10420
36.75,10411
36.833333333333336,10415
36.916666666666664,10418
37,10423
37.083333333333336,10417
37.166666666666664,10421
37.25,10426
37.333333333333336,10433
37.416666666666664,10432
37.5,10423
37.583333333333336,10431
37.666666666666664,10424
37.75,10427
37.833333333333336,10429
37.916666666666664,10427
38,10438
38.083333333333336,10431
38.166666666666664,10441
38.25,10437
38.333333333333336,10445
38.416666666666664,10450
38.5,10445
38.583333333333336,10452
38.666666666666664,10461
38.75,10461
38.833333333333336,10457
38.916666666666664,10457
39,10462
39.083333333333336,10459
39.166666666666664,10469
39.25,10468
39.333333333333336,10469
39.416666666666664,10470
39.5,10468
39.583333333333336,10474
39.666666666666664,10471
39.75,10473
39.833333333333336,10477
39.916666666666664,10476
40,10479
40.083333333333336,10480
40.166666666666664,10479
40.25,10485
40.333333333333336,10489
40.416666666666664,10480
40.5,10483
40.583333333333336,10492
40.666666666666664,10478
40.75,10489
40.833333333333336,10487
40.916666666666664,10483
41,10491
41.083333333333336,10488
41.166666666666664,10491
41.25,10490
41.333333333333336,10491
41.416666666666664,10494
41.5,10499
41.583333333333336,10499
41.666666666666664,10497
41.75,10495
41.833333333333336,10500
41.916666666666664,10502
42,10498
42.083333333333336,10497
42.166666666666664,10496
42.25,10496
42.333333333333336,10505
42.416666666666664,10498
42.5,10503
42.583333333333336,10496
42.666666666666664,10498
42.75,10500
42.833333333333336,10501
42.916666666666664,10498
43,10508
43.083333333333336,10509
43.166666666666664,10506
43.25,10500
43.333333333333336,10509
43.416666666666664,10516
43.5,10514
43.583333333333336,10505
43.666666666666664,10516
43.75,10507
43.833333333333336,10514
43.916666666666664,10512
44,10510
44.083333333333336,10513
44.166666666666664,10512
44.25,10507
44.333333333333336,10515
44.416666666666664,10516
44.5,10512
44.583333333333336,10519
44.666666666666664,10517
44.75,10517
44.833333333333336,10527
44.916666666666664,10527
45,10523
45.083333333333336,10527
45.166666666666664,10525
45.25,10528
45.333333333333336,10532
45.416666666666664,10525
45.5,10528
45.583333333333336,10535
45.666666666666664,10540
45.75,10537
45.833333333333336,10535
45.916666666666664,10534
46,10538
46.083333333333336,10541
46.166666666666664,10547
46.25,10544
46.333333333333336,10549
46.416666666666664,10554
46.5,10550
46.583333333333336,10555
46.666666666666664,10559
46.75,10555
46.833333333333336,10556
46.916666666666664,10556
47,10559
47.083333333333336,10560
47.166666666666664,10565
47.25,10566
47.333333333333336,10555
47.416666666666664,10559
47.5,10567
47.583333333333336,10560
47.666666666666664,10563
47.75,10569
47.833333333333336,10563
47.916666666666664,10566
