"Hours since thread went live","Chainsaw Man - Episode 10 discussion"
0,3
0,5
0.08333333333333333,37
0.16666666666666666,72
0.25,114
0.3333333333333333,180
0.4166666666666667,230
0.5,299
0.5833333333333334,344
0.6666666666666666,414
0.75,485
0.8333333333333334,562
0.9166666666666666,633
1,690
1.0833333333333333,763
1.1666666666666667,846
1.25,930
1.3333333333333333,1015
1.4166666666666667,1096
1.5,1228
1.5833333333333333,1337
1.6666666666666667,1446
1.75,1578
1.8333333333333333,1670
1.9166666666666667,1771
2,1852
2.0833333333333335,1967
2.1666666666666665,2063
2.25,2150
2.3333333333333335,2255
2.4166666666666665,2341
2.5,2443
2.5833333333333335,2514
2.6666666666666665,2592
2.75,2670
2.8333333333333335,2753
2.9166666666666665,2828
3,2899
3.0833333333333335,2965
3.1666666666666665,3035
3.25,3099
3.3333333333333335,3158
3.4166666666666665,3223
3.5,3288
3.5833333333333335,3354
3.6666666666666665,3406
3.75,3476
3.8333333333333335,3534
3.9166666666666665,3610
4,3664
4.083333333333333,3704
4.166666666666667,3753
4.25,3808
4.333333333333333,3860
4.416666666666667,3922
4.5,3975
4.583333333333333,4021
4.666666666666667,4090
4.75,4133
4.833333333333333,4199
4.916666666666667,4257
5,4293
5.083333333333333,4366
5.166666666666667,4428
5.25,4472
5.333333333333333,4530
5.416666666666667,4578
5.5,4624
5.583333333333333,4665
5.666666666666667,4726
5.75,4769
5.833333333333333,4814
5.916666666666667,4860
6,4921
6.083333333333333,4962
6.166666666666667,5014
6.25,5070
6.333333333333333,5125
6.416666666666667,5169
6.5,5210
6.583333333333333,5246
6.666666666666667,5294
6.75,5343
6.833333333333333,5386
6.916666666666667,5432
7,5477
7.083333333333333,5521
7.166666666666667,5559
7.25,5606
7.333333333333333,5634
7.416666666666667,5655
7.5,5716
7.583333333333333,5760
7.666666666666667,5791
7.75,5829
7.833333333333333,5889
7.916666666666667,5926
8,5974
8.083333333333334,6012
8.166666666666666,6060
8.25,6080
8.333333333333334,6111
8.416666666666666,6155
8.5,6191
8.583333333333334,6213
8.666666666666666,6251
8.75,6280
8.833333333333334,6317
8.916666666666666,6338
9,6372
9.083333333333334,6401
9.166666666666666,6438
9.25,6469
9.333333333333334,6496
9.416666666666666,6523
9.5,6556
9.583333333333334,6589
9.666666666666666,6608
9.75,6629
9.833333333333334,6665
9.916666666666666,6689
10,6716
10.083333333333334,6750
10.166666666666666,6775
10.25,6804
10.333333333333334,6839
10.416666666666666,6873
10.5,6893
10.583333333333334,6926
10.666666666666666,6964
10.75,6979
10.833333333333334,7015
10.916666666666666,7045
11,7076
11.083333333333334,7093
11.166666666666666,7119
11.25,7154
11.333333333333334,7191
11.416666666666666,7227
11.5,7243
11.583333333333334,7262
11.666666666666666,7287
11.75,7303
11.833333333333334,7324
11.916666666666666,7364
12,7372
12.083333333333334,7389
12.166666666666666,7422
12.25,7438
12.333333333333334,7470
12.416666666666666,7497
12.5,7503
12.583333333333334,7526
12.666666666666666,7556
12.75,7581
12.833333333333334,7609
12.916666666666666,7636
13,7653
13.083333333333334,7674
13.166666666666666,7691
13.25,7708
13.333333333333334,7737
13.416666666666666,7748
13.5,7766
13.583333333333334,7794
13.666666666666666,7808
13.75,7828
13.833333333333334,7838
13.916666666666666,7855
14,7876
14.083333333333334,7895
14.166666666666666,7908
14.25,7929
14.333333333333334,7953
14.416666666666666,7970
14.5,7985
14.583333333333334,8002
14.666666666666666,8017
14.75,8044
14.833333333333334,8051
14.916666666666666,8079
15,8093
15.083333333333334,8106
15.166666666666666,8117
15.25,8133
15.333333333333334,8138
15.416666666666666,8157
15.5,8176
15.583333333333334,8187
15.666666666666666,8204
15.75,8217
15.833333333333334,8233
15.916666666666666,8254
16,8264
16.083333333333332,8284
16.166666666666668,8283
16.25,8296
16.333333333333332,8304
16.416666666666668,8319
16.5,8321
16.583333333333332,8330
16.666666666666668,8343
16.75,8348
16.833333333333332,8373
16.916666666666668,8384
17,8390
17.083333333333332,8413
17.166666666666668,8418
17.25,8436
17.333333333333332,8439
17.416666666666668,8455
17.5,8478
17.583333333333332,8491
17.666666666666668,8506
17.75,8516
17.833333333333332,8527
17.916666666666668,8541
18,8554
18.083333333333332,8558
18.166666666666668,8573
18.25,8585
18.333333333333332,8598
18.416666666666668,8613
18.5,8620
18.583333333333332,8636
18.666666666666668,8646
18.75,8664
18.833333333333332,8664
18.916666666666668,8685
19,8690
19.083333333333332,8700
19.166666666666668,8717
19.25,8718
19.333333333333332,8735
19.416666666666668,8740
19.5,8744
19.583333333333332,8762
19.666666666666668,8765
19.75,8782
19.833333333333332,8803
19.916666666666668,8811
20,8822
20.083333333333332,8833
20.166666666666668,8854
20.25,8860
20.333333333333332,8867
20.416666666666668,8884
20.5,8887
20.583333333333332,8888
20.666666666666668,8903
20.75,8917
20.833333333333332,8930
20.916666666666668,8936
21,8941
21.083333333333332,8952
21.166666666666668,8959
21.25,8971
21.333333333333332,8974
21.416666666666668,8986
21.5,8989
21.583333333333332,9004
21.666666666666668,9001
21.75,9011
21.833333333333332,9018
21.916666666666668,9019
22,9035
22.083333333333332,9040
22.166666666666668,9046
22.25,9060
22.333333333333332,9063
22.416666666666668,9072
22.5,9092
22.583333333333332,9096
22.666666666666668,9107
22.75,9112
22.833333333333332,9122
22.916666666666668,9123
23,9136
23.083333333333332,9134
23.166666666666668,9144
23.25,9148
23.333333333333332,9162
23.416666666666668,9173
23.5,9179
23.583333333333332,9190
23.666666666666668,9198
23.75,9207
23.833333333333332,9212
23.916666666666668,9214
24,9221
24.083333333333332,9226
24.166666666666668,9232
24.25,9237
24.333333333333332,9252
24.416666666666668,9253
24.5,9249
24.583333333333332,9260
24.666666666666668,9266
24.75,9267
24.833333333333332,9270
24.916666666666668,9279
25,9286
25.083333333333332,9284
25.166666666666668,9288
25.25,9289
25.333333333333332,9302
25.416666666666668,9296
25.5,9303
25.583333333333332,9310
25.666666666666668,9324
25.75,9327
25.833333333333332,9334
25.916666666666668,9335
26,9327
26.083333333333332,9334
26.166666666666668,9341
26.25,9341
26.333333333333332,9349
26.416666666666668,9359
26.5,9361
26.583333333333332,9367
26.666666666666668,9365
26.75,9373
26.833333333333332,9371
26.916666666666668,9387
27,9390
27.083333333333332,9392
27.166666666666668,9391
27.25,9394
27.333333333333332,9393
27.416666666666668,9398
27.5,9407
27.583333333333332,9408
27.666666666666668,9416
27.75,9414
27.833333333333332,9415
27.916666666666668,9420
28,9425
28.083333333333332,9417
28.166666666666668,9424
28.25,9425
28.333333333333332,9434
28.416666666666668,9437
28.5,9434
28.583333333333332,9435
28.666666666666668,9443
28.75,9435
28.833333333333332,9452
28.916666666666668,9445
29,9453
29.083333333333332,9460
29.166666666666668,9461
29.25,9464
29.333333333333332,9469
29.416666666666668,9473
29.5,9470
29.583333333333332,9481
29.666666666666668,9474
29.75,9481
29.833333333333332,9483
29.916666666666668,9487
30,9484
30.083333333333332,9489
30.166666666666668,9493
30.25,9498
30.333333333333332,9495
30.416666666666668,9507
30.5,9508
30.583333333333332,9511
30.666666666666668,9522
30.75,9512
30.833333333333332,9521
30.916666666666668,9520
31,9522
31.083333333333332,9525
31.166666666666668,9523
31.25,9535
31.333333333333332,9534
31.416666666666668,9536
31.5,9550
31.583333333333332,9548
31.666666666666668,9555
31.75,9556
31.833333333333332,9558
31.916666666666668,9561
32,9556
32.083333333333336,9557
32.166666666666664,9569
32.25,9569
32.333333333333336,9582
32.416666666666664,9575
32.5,9585
32.583333333333336,9585
32.666666666666664,9596
32.75,9593
32.833333333333336,9588
32.916666666666664,9604
33,9601
33.083333333333336,9600
33.166666666666664,9609
33.25,9598
33.333333333333336,9608
33.416666666666664,9612
33.5,9611
33.583333333333336,9617
33.666666666666664,9622
33.75,9623
33.833333333333336,9620
33.916666666666664,9624
34,9638
34.083333333333336,9634
34.166666666666664,9641
34.25,9645
34.333333333333336,9654
34.416666666666664,9656
34.5,9665
34.583333333333336,9664
34.666666666666664,9661
34.75,9662
34.833333333333336,9667
34.916666666666664,9672
35,9678
35.083333333333336,9686
35.166666666666664,9677
35.25,9685
35.333333333333336,9686
35.416666666666664,9696
35.5,9691
35.583333333333336,9696
35.666666666666664,9698
35.75,9696
35.833333333333336,9700
35.916666666666664,9708
36,9704
36.083333333333336,9712
36.166666666666664,9712
36.25,9716
36.333333333333336,9721
36.416666666666664,9721
36.5,9712
36.583333333333336,9717
36.666666666666664,9716
36.75,9720
36.833333333333336,9718
36.916666666666664,9730
37,9725
37.083333333333336,9735
37.166666666666664,9738
37.25,9739
37.333333333333336,9733
37.416666666666664,9739
37.5,9736
37.583333333333336,9742
37.666666666666664,9748
37.75,9742
37.833333333333336,9750
37.916666666666664,9746
38,9750
38.083333333333336,9758
38.166666666666664,9754
38.25,9760
38.333333333333336,9751
38.416666666666664,9759
38.5,9761
38.583333333333336,9767
38.666666666666664,9761
38.75,9761
38.833333333333336,9769
38.916666666666664,9769
39,9771
39.083333333333336,9768
39.166666666666664,9770
39.25,9774
39.333333333333336,9777
39.416666666666664,9778
39.5,9769
39.583333333333336,9778
39.666666666666664,9782
39.75,9776
39.833333333333336,9778
39.916666666666664,9780
40,9783
40.083333333333336,9786
40.166666666666664,9783
40.25,9780
40.333333333333336,9791
40.416666666666664,9789
40.5,9786
40.583333333333336,9783
40.666666666666664,9787
40.75,9784
40.833333333333336,9780
40.916666666666664,9786
41,9785
41.083333333333336,9788
41.166666666666664,9782
41.25,9790
41.333333333333336,9791
41.416666666666664,9789
41.5,9795
41.583333333333336,9796
41.666666666666664,9796
41.75,9794
41.833333333333336,9795
41.916666666666664,9804
42.083333333333336,9795
42.166666666666664,9799
42.25,9802
42.333333333333336,9806
42.416666666666664,9804
42.5,9801
42.583333333333336,9807
42.666666666666664,9803
42.75,9805
42.833333333333336,9804
42.916666666666664,9804
43,9806
43.083333333333336,9806
43.166666666666664,9808
43.25,9808
43.333333333333336,9816
43.416666666666664,9810
43.5,9807
43.583333333333336,9814
43.666666666666664,9807
43.75,9812
43.833333333333336,9815
43.916666666666664,9821
44,9825
44.083333333333336,9817
44.166666666666664,9829
44.25,9827
44.333333333333336,9825
44.416666666666664,9822
44.5,9822
44.583333333333336,9827
44.666666666666664,9829
44.75,9830
44.833333333333336,9832
44.916666666666664,9834
45,9833
45.083333333333336,9830
45.166666666666664,9837
45.25,9836
45.333333333333336,9833
45.416666666666664,9833
45.5,9837
45.583333333333336,9830
45.666666666666664,9828
45.75,9829
45.833333333333336,9836
45.916666666666664,9839
46,9839
46.083333333333336,9840
46.166666666666664,9837
46.25,9845
46.333333333333336,9838
46.416666666666664,9843
46.5,9841
46.583333333333336,9846
46.666666666666664,9842
46.75,9844
46.833333333333336,9843
46.916666666666664,9842
47,9842
47.083333333333336,9841
47.166666666666664,9850
47.25,9849
47.333333333333336,9839
47.416666666666664,9845
47.5,9851
47.583333333333336,9847
47.666666666666664,9851
47.75,9845
47.833333333333336,9849
47.916666666666664,9855
