week_id,start_date,end_date,season
1,2024-12-27,2025-01-02,1
2,2025-01-03,2025-01-09,1
3,2025-01-10,2025-01-16,1
4,2025-01-17,2025-01-23,1
5,2025-01-24,2025-01-30,1
6,2025-01-31,2025-02-06,1
7,2025-02-07,2025-02-13,1
8,2025-02-14,2025-02-20,1
9,2025-02-21,2025-02-27,1
10,2025-02-28,2025-03-06,1
11,2025-03-07,2025-03-13,1
12,2025-03-14,2025-03-20,1
13,2025-03-21,2025-03-27,1
1,2025-03-28,2025-04-03,2
2,2025-04-04,2025-04-10,2
3,2025-04-11,2025-04-17,2
4,2025-04-18,2025-04-24,2
5,2025-04-25,2025-05-01,2
6,2025-05-02,2025-05-08,2
7,2025-05-09,2025-05-15,2
8,2025-05-16,2025-05-22,2
9,2025-05-23,2025-05-29,2
10,2025-05-30,2025-06-05,2
11,2025-06-06,2025-06-12,2
12,2025-06-13,2025-06-19,2
13,2025-06-20,2025-06-26,2
1,2025-06-27,2025-07-03,3
2,2025-07-04,2025-07-10,3
3,2025-07-11,2025-07-17,3
4,2025-07-18,2025-07-24,3
5,2025-07-25,2025-07-31,3
6,2025-08-01,2025-08-07,3
7,2025-08-08,2025-08-14,3
8,2025-08-15,2025-08-21,3
9,2025-08-22,2025-08-28,3
10,2025-08-29,2025-09-04,3
11,2025-09-05,2025-09-11,3
12,2025-09-12,2025-09-18,3
13,2025-09-19,2025-09-25,3
1,2025-09-26,2025-10-02,4
2,2025-10-03,2025-10-09,4
3,2025-10-10,2025-10-16,4
4,2025-10-17,2025-10-23,4
5,2025-10-24,2025-10-30,4
6,2025-10-31,2025-11-06,4
7,2025-11-07,2025-11-13,4
8,2025-11-14,2025-11-20,4
9,2025-11-21,2025-11-27,4
10,2025-11-28,2025-12-04,4
11,2025-12-05,2025-12-11,4
12,2025-12-12,2025-12-18,4
13,2025-12-19,2025-12-25,4
