week_id,start_date,end_date
1,2024-03-30 13:00:00+00:00,2024-04-06 12:59:59+00:00
2,2024-04-06 13:00:00+00:00,2024-04-13 12:59:59+00:00
3,2024-04-13 13:00:00+00:00,2024-04-20 12:59:59+00:00
4,2024-04-20 13:00:00+00:00,2024-04-27 12:59:59+00:00
5,2024-04-27 13:00:00+00:00,2024-05-04 12:59:59+00:00
6,2024-05-04 13:00:00+00:00,2024-05-11 12:59:59+00:00
7,2024-05-11 13:00:00+00:00,2024-05-18 12:59:59+00:00
8,2024-05-18 13:00:00+00:00,2024-05-25 12:59:59+00:00
9,2024-05-25 13:00:00+00:00,2024-06-01 12:59:59+00:00
10,2024-06-01 13:00:00+00:00,2024-06-08 12:59:59+00:00
11,2024-06-08 13:00:00+00:00,2024-06-15 12:59:59+00:00
12,2024-06-15 13:00:00+00:00,2024-06-22 12:59:59+00:00
13,2024-06-22 13:00:00+00:00,2024-06-29 12:59:59+00:00

